active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,4,22,15,158,1.0,,,base,0,0.03316700000000006,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,134,deferred_area7,5,[],12603.979749546508,0,126.3358280542244,0.0,14,,,0,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03317254199646413
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,4,22,15,158,1.0,,,base,0,0.03298800000000002,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,134,lean_deferred_area7,5,[],12603.979749546508,0,126.3358280542244,0.0,14,,,0,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03304687497438863
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,6,6,19,15,144,1.0,,,base,0,0.030015000000000014,0,15,,6,10,False,,6,0,6,False,,0,0,,22,0,4,,,123,deferred_area7,6,[],13010.796039392302,0,107.1655831496508,0.0,9,,,0,227.94394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,115,3419.159209,,,True,0.030020916019566357
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,6,6,19,15,144,1.0,,,base,0,0.02944200000000008,0,15,,6,10,False,,6,0,6,False,,0,0,,22,0,4,,,123,lean_deferred_area7,6,[],13010.796039392302,0,107.1655831496508,0.0,9,,,0,227.94394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,115,3419.159209,,,True,0.029480415978468955
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,1,1,13,10,133,1.0,,,base,0,0.018960000000000088,0,10,,2,5,False,,1,0,1,False,,0,0,,17,0,4,,,118,deferred_area7,10,[],11220.950146327352,0,50.559319946033376,0.0,8,,,0,300.71900270000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3007.190027,,,True,0.018967083015013486
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,1,1,13,10,133,1.0,,,base,0,0.01881099999999991,0,10,,2,5,False,,1,0,1,False,,0,0,,17,0,4,,,118,lean_deferred_area7,10,[],11220.950146327352,0,50.559319946033376,0.0,8,,,0,300.71900270000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3007.190027,,,True,0.01881049998337403
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,0,0,16,12,150,1.0,,,base,0,0.02503499999999992,0,12,,4,8,False,,0,0,0,False,,0,0,,19,0,4,,,132,deferred_area7,8,[],12063.417805624325,0,48.0087867640272,0.0,8,,,0,272.14029666666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,19,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3265.68356,,,True,0.02509083301993087
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,0,0,16,12,150,1.0,,,base,0,0.024015999999999815,0,12,,4,8,False,,0,0,0,False,,0,0,,19,0,4,,,132,lean_deferred_area7,8,[],12063.417805624325,0,48.0087867640272,0.0,8,,,0,272.14029666666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,19,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3265.68356,,,True,0.024055125017184764
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,8,1,1,12,10,128,1.0,,,base,0,0.018621,0,10,,2,4,False,,1,0,1,False,,0,0,,17,0,4,,,114,deferred_area7,10,[],11145.28580040564,0,50.5213170450714,0.0,8,,,0,296.4057159,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,6,,9,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,109,2964.057159,,,True,0.018621666997205466
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,8,1,1,12,10,128,1.0,,,base,0,0.01826799999999995,0,10,,2,4,False,,1,0,1,False,,0,0,,17,0,4,,,114,lean_deferred_area7,10,[],11145.28580040564,0,50.5213170450714,0.0,8,,,0,296.4057159,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,6,,9,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,109,2964.057159,,,True,0.018292208027560264
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,0,0,22,15,157,1.0,,,base,0,0.030909000000000075,0,15,,4,11,False,,0,0,0,False,,0,0,,22,0,4,,,133,deferred_area7,5,[],11311.566864547774,0,89.91461847037544,0.0,11,,,0,209.88755826666664,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,125,3148.313374,,,True,0.03094070899533108
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,0,0,22,15,157,1.0,,,base,0,0.030664999999999942,0,15,,4,11,False,,0,0,0,False,,0,0,,22,0,4,,,133,lean_deferred_area7,5,[],11311.566864547774,0,89.91461847037544,0.0,11,,,0,209.88755826666664,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,125,3148.313374,,,True,0.03068229096243158
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,9,2,2,19,15,139,1.0,,,base,0,0.02852100000000002,0,15,,6,10,False,,2,0,2,False,,0,0,,22,0,4,,,118,deferred_area7,5,[],12859.410494502135,0,83.41194961814898,0.0,9,,,0,223.7921398,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,23,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3356.882097,,,True,0.02858674997696653
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,9,2,2,19,15,139,1.0,,,base,0,0.028753999999999946,0,15,,6,10,False,,2,0,2,False,,0,0,,22,0,4,,,118,lean_deferred_area7,5,[],12859.410494502135,0,83.41194961814898,0.0,9,,,0,223.7921398,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,23,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3356.882097,,,True,0.02875429199775681
7,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,7,1,1,11,10,138,1.0,,,base,0,0.019758000000000164,0,10,,3,4,False,,1,0,1,False,,0,0,,17,0,4,,,125,deferred_area7,10,[],11151.369987015993,0,43.860243093504366,0.0,7,,,0,302.7273994,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3027.273994,,,True,0.019780124945100397
7,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,7,1,1,11,10,138,1.0,,,base,0,0.019327000000000094,0,10,,3,4,False,,1,0,1,False,,0,0,,17,0,4,,,125,lean_deferred_area7,10,[],11151.369987015993,0,43.860243093504366,0.0,7,,,0,302.7273994,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3027.273994,,,True,0.019341915962286294
6,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,9,0,0,14,12,136,1.0,,,base,0,0.02514100000000008,0,12,,3,5,False,,0,0,0,False,,0,0,,19,0,4,,,120,deferred_area7,8,[],11408.921013664041,0,52.519745855040824,0.0,9,,,0,254.64868366666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,24,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,108,3055.784204,,,True,0.025140957965049893
6,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,9,0,0,14,12,136,1.0,,,base,0,0.024787000000000114,0,12,,3,5,False,,0,0,0,False,,0,0,,19,0,4,,,120,lean_deferred_area7,8,[],11408.921013664041,0,52.519745855040824,0.0,9,,,0,254.64868366666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,24,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,108,3055.784204,,,True,0.02479541697539389
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,8,3,3,13,10,134,1.0,,,base,0,0.021630000000000038,1,10,,2,5,False,,3,0,2,False,,0,0,,17,0,4,,,119,deferred_area7,10,[],12701.340476515094,0,65.96383839690539,0.0,8,,,0,330.7268094,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3307.268094,,,True,0.021652832976542413
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,8,3,3,13,10,134,1.0,,,base,0,0.020930000000000115,1,10,,2,5,False,,3,0,2,False,,0,0,,17,0,4,,,119,lean_deferred_area7,10,[],12701.340476515094,0,65.96383839690539,0.0,8,,,0,330.7268094,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3307.268094,,,True,0.02093483303906396
13,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,14,4,4,22,15,159,1.0,,,base,0,0.03293299999999988,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,135,deferred_area7,5,[],12617.62105305865,0,148.4007863913149,0.0,14,,,0,227.90161393333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,35,,2,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3418.524209,,,True,0.03294250002363697
13,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,14,4,4,22,15,159,1.0,,,base,0,0.032405999999999935,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,135,lean_deferred_area7,5,[],12617.62105305865,0,148.4007863913149,0.0,14,,,0,227.90161393333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,35,,2,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3418.524209,,,True,0.032417665992397815
12,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,3,3,21,15,146,1.0,,,base,0,0.030200000000000005,0,15,,2,8,False,,3,0,3,False,,0,0,,22,0,4,,,123,deferred_area7,6,[],13066.042994566902,0,121.4214655759378,0.0,13,,,0,229.01390666666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,22,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3435.2086,,,True,0.030204040987882763
12,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,3,3,21,15,146,1.0,,,base,0,0.02905599999999997,0,15,,2,8,False,,3,0,3,False,,0,0,,22,0,4,,,123,lean_deferred_area7,6,[],13066.042994566902,0,121.4214655759378,0.0,13,,,0,229.01390666666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,22,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3435.2086,,,True,0.029088291979860514
7,0,True,0,0,0,0,0,uniform__adversarial-spatial__70,uniform__adversarial-spatial,6,2,2,14,10,145,1.0,,,base,0,0.021506000000000025,0,10,,4,8,False,,2,0,2,False,,0,0,,17,0,4,,,129,deferred_area7,10,[],11516.371920835065,0,52.39706504001099,0.0,6,,,0,312.62743839999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,13,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3126.274384,,,True,0.0215387080097571
7,0,True,0,0,0,0,0,uniform__adversarial-spatial__70,uniform__adversarial-spatial,6,2,2,14,10,145,1.0,,,base,0,0.02131100000000008,0,10,,4,8,False,,2,0,2,False,,0,0,,17,0,4,,,129,lean_deferred_area7,10,[],11516.371920835065,0,52.39706504001099,0.0,6,,,0,312.62743839999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,13,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3126.274384,,,True,0.021310958021786064
10,0,True,0,0,0,0,0,uniform__adversarial-spatial__71,uniform__adversarial-spatial,11,0,0,15,12,141,1.0,,,base,0,0.026148999999999978,0,12,,1,4,False,,0,0,0,False,,0,0,,19,0,4,,,124,deferred_area7,8,[],12339.184088627455,0,130.58177591346248,0.0,11,,,0,272.48640141666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,23,,2,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,3269.836817,,,True,0.026156916981562972
