active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,12,10,136,0.021260999999999974,10,2,4,,0,17,,122,joint7,[],12611.301441086958,0,0.0,,330.3260285,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3303.260285,0.02156991697847843
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,12,10,136,0.02056100000000005,10,2,4,,0,17,0,122,fast7,[],12611.301441086958,0,0.0,,330.3260285,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3303.260285,0.020572874986100942
11,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,14,10,161,0.022707000000000033,10,3,7,,0,19,0,145,fast9,[],13504.880389780747,0,0.0,,362.1976077,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,8,,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3621.976077,0.022715832979884
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,19,15,163,0.03378700000000001,15,3,7,,0,22,,142,joint7,[],12931.75788960689,0,0.0,,234.2234385333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,37,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,130,3513.351578,0.0338612089981325
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,19,15,163,0.03359699999999999,15,3,7,,0,22,0,142,fast7,[],12931.75788960689,0,0.0,,234.2234385333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,37,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,130,3513.351578,0.03362345794448629
6,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,6,16,15,168,0.027681999999999984,15,9,10,,0,24,0,150,fast9,[],12491.545674624604,0,0.0,,231.2872758,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,32,,1,15,ordinary,9,full_coverage_and_all_discovered_cleared,143,3469.309137,0.027688541973475367
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,16,15,140,0.026190999999999964,15,8,9,,0,22,,122,joint7,[],13156.983543135357,0,0.0,,228.69311393333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,23,,10,15,ordinary,7,full_coverage_and_all_discovered_cleared,111,3430.396709,0.026211125019472092
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,16,15,140,0.026314999999999977,15,8,9,,0,22,0,122,fast7,[],13156.983543135357,0,0.0,,228.69311393333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,23,,10,15,ordinary,7,full_coverage_and_all_discovered_cleared,111,3430.396709,0.026317249983549118
11,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,10,18,15,168,0.02998999999999996,15,5,8,,0,24,0,148,fast9,[],14697.913748558172,0,0.0,,260.23884979999997,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,30,,2,15,ordinary,9,full_coverage_and_all_discovered_cleared,140,3903.582747,0.030003834050148726
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,10,10,136,0.016525000000000012,10,5,5,,0,17,,124,joint7,[],11259.243015925738,0,0.0,,303.9848602,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,9,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,3039.848602,0.01652454095892608
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,10,10,136,0.016965000000000008,10,5,5,,0,17,0,124,fast7,[],11259.243015925738,0,0.0,,303.9848602,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,9,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,3039.848602,0.016964416950941086
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,6,11,10,157,0.01738699999999993,10,4,5,,0,19,0,144,fast9,[],12844.627584284442,0,0.0,,347.49255159999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,8,,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,133,3474.925516,0.01740374998189509
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,13,12,132,0.02221300000000004,12,6,7,,0,19,,117,joint7,[],11493.867776214622,0,0.0,,254.64779616666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,22,,3,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3055.773554,0.02222462499048561
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,13,12,132,0.022522000000000042,12,6,7,,0,19,0,117,fast7,[],11493.867776214622,0,0.0,,254.64779616666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,22,,3,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3055.773554,0.022551083005964756
6,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,9,13,12,159,0.025182999999999955,12,3,4,,0,21,0,144,fast9,[],13075.907149837698,0,0.0,,293.8484525833333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,26,,6,12,ordinary,9,full_coverage_and_all_discovered_cleared,128,3526.181431,0.025194166984874755
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,15,10,139,0.019606000000000012,10,1,6,,0,17,,122,joint7,[],12618.011098852454,0,0.0,,331.3602219,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3313.602219,0.019625917018856853
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,15,10,139,0.019467000000000012,10,1,6,,0,17,0,122,fast7,[],12618.011098852454,0,0.0,,331.3602219,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3313.602219,0.019507041026372463
9,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,6,14,10,159,0.020160999999999984,10,4,8,,0,19,0,143,fast9,[],13377.599778931411,0,0.0,,358.8519956,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,9,,1,10,ordinary,9,full_coverage_and_all_discovered_cleared,136,3588.519956,0.020160124986432493
11,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,21,15,164,0.03142099999999992,15,1,7,,0,22,,141,joint7,[],12707.008697597137,0,0.0,,231.36011599999998,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,37,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,131,3470.40174,0.03146049997303635
11,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,21,15,164,0.03166599999999997,15,1,7,,0,22,0,141,fast7,[],12707.008697597137,0,0.0,,231.36011599999998,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,37,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,131,3470.40174,0.03168625000398606
11,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,12,21,15,182,0.031598000000000015,15,3,9,,0,24,0,159,fast9,[],12590.774573746072,0,0.0,,237.2769944,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,35,,1,15,ordinary,9,full_coverage_and_all_discovered_cleared,153,3559.154916,0.03160279098665342
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,19,15,153,0.028907000000000016,15,6,10,,0,22,,132,joint7,[],13112.311275903154,0,0.0,,232.830817,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,26,,6,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3492.462255,0.028953749977517873
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,19,15,153,0.02865300000000004,15,6,10,,0,22,0,132,fast7,[],13112.311275903154,0,0.0,,232.830817,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,26,,6,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3492.462255,0.028665540972724557
13,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,11,20,15,169,0.03386,15,4,9,,0,24,0,147,fast9,[],14359.901111787985,0,0.0,,255.79868146666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,25,,0,15,ordinary,9,full_coverage_and_all_discovered_cleared,140,3836.980222,0.0338944589602761
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,13,10,134,0.017620999999999887,10,2,5,,0,17,,119,joint7,[],11260.065709941298,0,0.0,,302.10131409999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,7,,6,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3021.013141,0.017635917000006884
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,13,10,134,0.01771300000000009,10,2,5,,0,17,0,119,fast7,[],11260.065709941298,0,0.0,,302.10131409999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,7,,6,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3021.013141,0.0177122910390608
6,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,6,12,10,161,0.019074000000000035,10,4,6,,0,19,0,147,fast9,[],12731.802736666375,0,0.0,,347.4360548,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,137,3474.360548,0.019098958000540733
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,16,12,150,0.023422000000000054,12,4,8,,0,19,,132,joint7,[],12093.808514340271,0,0.0,,272.64680849999996,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,19,,1,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3271.761702,0.023472916975151747
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,16,12,150,0.02294799999999997,12,4,8,,0,19,0,132,fast7,[],12093.808514340271,0,0.0,,272.64680849999996,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,19,,1,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3271.761702,0.022969916986767203
10,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,10,18,12,176,0.02787699999999993,12,2,8,,0,21,0,156,fast9,[],12661.928437801449,0,0.0,,294.36547391666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,28,,4,12,ordinary,9,full_coverage_and_all_discovered_cleared,142,3532.385687,0.02793516597012058
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,8,12,10,129,0.018340000000000023,10,2,4,,0,17,,115,joint7,[],11166.330163258464,0,0.0,,297.4266032,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,6,,9,10,ordinary,7,full_coverage_and_all_discovered_cleared,110,2974.266032,0.018566292012110353
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,8,12,10,129,0.01789799999999997,10,2,4,,0,17,0,115,fast7,[],11166.330163258464,0,0.0,,297.4266032,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,6,,9,10,ordinary,7,full_coverage_and_all_discovered_cleared,110,2974.266032,0.017897624988108873
12,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,10,17,10,163,0.021380999999999872,10,0,7,,0,19,0,144,fast9,[],12121.052586983526,0,0.0,,335.321052,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,6,,15,10,ordinary,9,full_coverage_and_all_discovered_cleared,138,3353.21052,0.0214151669642888
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,22,15,157,0.029484000000000066,15,4,11,,0,22,,133,joint7,[],11354.09482424925,0,0.0,,210.4545976,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,125,3156.818964,0.02952733403071761
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,22,15,157,0.030161000000000104,15,4,11,,0,22,0,133,fast7,[],11354.09482424925,0,0.0,,210.4545976,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,33,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,125,3156.818964,0.030160584021359682
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,11,21,15,180,0.029506000000000032,15,4,10,,0,24,0,157,fast9,[],12546.474915951369,0,0.0,,235.88633213333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,34,,1,15,ordinary,9,full_coverage_and_all_discovered_cleared,151,3538.294982,0.02952754101715982
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,9,19,15,141,0.027524000000000104,15,6,10,,0,22,,120,joint7,[],12915.020752974062,0,0.0,,225.33360993333332,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,23,,9,15,ordinary,7,full_coverage_and_all_discovered_cleared,110,3380.004149,0.027564834046643227
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,9,19,15,141,0.027204000000000006,15,6,10,,0,22,0,120,fast7,[],12915.020752974062,0,0.0,,225.33360993333332,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,23,,9,15,ordinary,7,full_coverage_and_all_discovered_cleared,110,3380.004149,0.027233832981437445
11,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,13,19,15,170,0.031096000000000013,15,2,6,,0,24,0,149,fast9,[],14324.545186341464,0,0.0,,255.3272692,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,29,,5,15,ordinary,9,full_coverage_and_all_discovered_cleared,133,3829.909038,0.031160624988842756
7,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,7,11,10,139,0.017967000000000066,10,3,4,,0,17,,126,joint7,[],11235.00349562528,0,0.0,,305.0000699,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,9,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3050.000699,0.017966916027944535
7,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,7,11,10,139,0.01812300000000011,10,3,4,,0,17,0,126,fast7,[],11235.00349562528,0,0.0,,305.0000699,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,9,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3050.000699,0.018127417017240077
8,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,8,12,10,163,0.0197210000000001,10,2,4,,0,19,0,149,fast9,[],12877.37171223775,0,0.0,,351.54743429999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,11,,0,10,ordinary,9,full_coverage_and_all_discovered_cleared,139,3515.474343,0.019786457996815443
6,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,9,14,12,136,0.02343099999999998,12,3,5,,0,19,,120,joint7,[],11493.362723873304,0,0.0,,256.0560455,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,24,,3,12,ordinary,7,full_coverage_and_all_discovered_cleared,108,3072.672546,0.023435083974618465
6,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,9,14,12,136,0.02353099999999997,12,3,5,,0,19,0,120,fast7,[],11493.362723873304,0,0.0,,256.0560455,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,24,,3,12,ordinary,7,full_coverage_and_all_discovered_cleared,108,3072.672546,0.02353954198770225
11,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,12,17,12,169,0.028383999999999965,12,0,5,,0,21,0,150,fast9,[],13535.53129440121,0,0.0,,306.0088549166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,17,,3,12,ordinary,9,full_coverage_and_all_discovered_cleared,140,3672.106259,0.02839570795185864
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,7,12,10,135,0.020169000000000104,10,3,5,,0,17,,121,joint7,[],12696.952807394133,0,0.0,,331.53905599999996,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3315.39056,0.02024212497053668
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,7,12,10,135,0.020458000000000087,10,3,5,,0,17,0,121,fast7,[],12696.952807394133,0,0.0,,331.53905599999996,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3315.39056,0.020457791979424655
11,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,9,14,10,160,0.022215000000000096,10,1,5,,0,19,0,144,fast9,[],13565.896250753398,0,0.0,,363.117925,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,8,,1,10,ordinary,9,full_coverage_and_all_discovered_cleared,136,3631.17925,0.022248791006859392
12,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,14,21,15,161,0.031177999999999928,15,1,7,,0,22,,138,joint7,[],12786.503604609468,0,0.0,,231.22004786666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,35,,2,15,ordinary,7,full_coverage_and_all_discovered_cleared,128,3468.300718,0.031205040984787047
12,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,14,21,15,161,0.031636999999999915,15,1,7,,0,22,0,138,fast7,[],12786.503604609468,0,0.0,,231.22004786666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,35,,2,15,ordinary,7,full_coverage_and_all_discovered_cleared,128,3468.300718,0.03167158301221207
13,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,15,22,15,186,0.03238500000000011,15,0,7,,0,24,0,162,fast9,[],12544.212689402337,0,0.0,,238.05616933333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,37,,2,15,ordinary,9,full_coverage_and_all_discovered_cleared,156,3570.84254,0.03242725000018254
12,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,21,15,152,0.028154000000000012,15,2,8,,0,22,,129,joint7,[],13153.805846464904,0,0.0,,232.51741140000001,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,25,,10,15,ordinary,7,full_coverage_and_all_discovered_cleared,119,3487.761171,0.028210500022396445
12,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,21,15,152,0.028511000000000175,15,2,8,,0,22,0,129,fast7,[],13153.805846464904,0,0.0,,232.51741140000001,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,25,,10,15,ordinary,7,full_coverage_and_all_discovered_cleared,119,3487.761171,0.02851670898962766
15,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,20,15,175,0.031777000000000166,15,2,7,,0,24,0,153,fast9,[],14802.376513123865,0,0.0,,263.83168673333336,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,30,,1,15,ordinary,9,full_coverage_and_all_discovered_cleared,142,3957.475301,0.031798083044122905
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__70,uniform__adversarial-spatial,8,15,10,147,0.019676999999999722,10,2,7,,0,17,,130,joint7,[],11648.496243706893,0,0.0,,316.569925,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,13,,2,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3165.69925,0.01968674996169284
