active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,coverage_full_survey_points,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,problem,replaced_stations,replacement_measurements,replacement_proposals,replacement_surveys,seed,shared_known_measurements,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
8,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,6,17,15,146,,0.025163000000000046,15,9,11,,0,22,,127,baseline_task7,[],12853.696604615454,0,0.0,226.71595459999998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,,,,,69,29,7,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3400.739319,0.025193583976943046
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,6,17,15,141,7,0.030649999999999955,15,9,11,,0,21,0,122,replace7,[],12689.613753498665,0,0.0,222.59484986666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,1,9,12,1,69,28,6,15,ordinary,6,continuous_replacement_coverage_and_all_discovered_cleared,110,3338.922748,0.030705499986652285
6,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,6,16,15,145,7,0.028345999999999982,15,9,10,,0,0,0,127,replace7_nearest,[],13795.568868807557,0,0.0,239.2075848,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,0,0,11,0,69,30,10,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,116,3588.113772,0.02835654199589044
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,9,15,15,158,9,0.03966500000000006,15,6,6,,0,20,0,141,replace9,[],13574.130770736518,0,0.0,241.78841013333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,4,39,13,4,69,35,1,15,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,132,3626.826152,0.039699124987237155
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,9,15,15,158,9,0.03903400000000001,15,6,6,,0,0,0,141,replace9_nearest,[],13574.130770736518,0,0.0,241.78841013333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,4,39,13,4,69,35,1,15,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,132,3626.826152,0.039060792012605816
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,13,10,140,,0.019729999999999914,10,4,7,,0,17,,125,baseline_task7,[],11227.30074824561,0,0.0,304.946015,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,,,,,70,8,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3049.46015,0.01973437500419095
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,13,10,140,7,0.02353700000000003,10,4,7,,0,17,0,125,replace7,[],11227.30074824561,0,0.0,304.946015,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,0,0,9,0,70,8,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,120,3049.46015,0.023604125017300248
7,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,5,12,10,135,7,0.021106999999999987,10,5,7,,0,0,0,121,replace7_nearest,[],11264.581937262947,0,0.0,302.99163880000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,0,0,9,0,70,6,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,116,3029.916388,0.02112020895583555
6,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,5,10,10,152,9,0.027289000000000008,10,5,5,,0,15,0,140,replace9,[],11514.471750157347,0,0.0,318.3894352,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,4,51,10,4,70,7,0,10,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,131,3183.894352,0.027294082974549383
5,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,5,10,10,153,9,0.02508700000000008,10,5,5,,0,0,0,141,replace9_nearest,[],11707.757243860464,0,0.0,322.85514509999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,3,39,10,3,70,7,0,10,ordinary,6,continuous_replacement_coverage_and_all_discovered_cleared,132,3228.551451,0.02517399995122105
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,6,13,12,133,,0.023174999999999946,12,6,7,,0,19,,118,baseline_task7,[],12181.245343005156,0,0.0,266.6040889166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,,,,,71,22,4,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3199.249067,0.02324683399638161
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,13,12,131,7,0.02898299999999998,12,5,6,,0,18,0,116,replace7,[],11989.417210572446,0,0.0,262.3236200833333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,1,12,12,1,71,22,2,12,ordinary,6,continuous_replacement_coverage_and_all_discovered_cleared,107,3147.883441,0.029002291965298355
8,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,14,12,143,7,0.02581700000000009,12,5,7,,0,0,0,127,replace7_nearest,[],12905.438095899013,0,0.0,283.25730158333334,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,0,0,10,0,71,22,8,12,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,117,3399.087619,0.02586749999318272
6,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,5,13,12,148,9,0.03178799999999993,12,7,8,,0,17,0,133,replace9,[],12564.016536174975,0,0.0,280.4002756666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,4,41,11,4,71,21,4,12,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,124,3364.803308,0.03180491703096777
10,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,8,15,12,156,9,0.034984000000000015,12,4,7,,0,0,0,139,replace9_nearest,[],13252.17223727989,0,0.0,295.20287075,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,4,40,12,4,71,25,1,12,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,128,3542.434449,0.03505150001728907
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,12,10,136,,0.02199300000000004,10,2,4,,0,17,,122,baseline_task7,[],12611.301441086958,0,0.0,330.3260285,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,,,,67,8,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3303.260285,0.022307417006231844
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,12,10,136,7,0.02496100000000001,10,2,4,,0,17,0,122,replace7,[],12611.301441086958,0,0.0,330.3260285,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,0,10,0,67,8,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,115,3303.260285,0.0249847499653697
6,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,12,10,139,7,0.022297000000000122,10,3,5,,0,0,0,125,replace7_nearest,[],13785.040066402473,0,0.0,355.6008012,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,0,8,0,67,9,3,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,118,3556.008012,0.022320875024888664
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,5,13,10,157,9,0.028505000000000003,10,5,8,,0,17,0,142,replace9,[],13105.454449445755,0,0.0,352.3090889,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,2,23,10,2,67,8,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,133,3523.090889,0.028512125019915402
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,5,13,10,156,9,0.026826000000000016,10,5,8,,0,0,0,141,replace9_nearest,[],13483.73024760823,0,0.0,359.3746048,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,2,23,10,2,67,7,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,133,3593.746048,0.02683479100232944
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,19,15,163,,0.03343000000000007,15,3,7,,0,22,,142,baseline_task7,[],12931.75788960689,0,0.0,234.2234385333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,,,,68,37,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,130,3513.351578,0.03349429200170562
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,19,15,163,7,0.038793999999999995,15,3,7,,0,22,0,142,replace7,[],12931.75788960689,0,0.0,234.2234385333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,0,14,0,68,37,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,130,3513.351578,0.0388303340296261
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,10,19,15,160,7,0.035833000000000004,15,5,9,,0,0,0,139,replace7_nearest,[],13241.483498122272,0,0.0,237.15311340000002,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,0,14,0,68,37,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,127,3557.296701,0.03590012498898432
6,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,8,17,15,168,9,0.04017499999999985,15,7,9,,0,21,0,149,replace9,[],11421.1650862077,0,0.0,216.6155344,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,3,27,11,3,68,35,0,15,ordinary,6,continuous_replacement_coverage_and_all_discovered_cleared,139,3249.233016,0.040213792002759874
8,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,10,18,15,157,9,0.039753999999999845,15,5,8,,0,0,0,137,replace9_nearest,[],10946.513304594642,0,0.0,205.8201774,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,4,31,14,4,68,39,0,15,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,129,3087.302661,0.03979812498437241
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,16,15,140,,0.026878999999999875,15,8,9,,0,22,,122,baseline_task7,[],13156.983543135357,0,0.0,228.69311393333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,,,,,69,23,10,15,ordinary,7,full_coverage_and_all_discovered_cleared,111,3430.396709,0.026884625025559217
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,16,15,140,7,0.03097300000000014,15,8,9,,0,22,0,122,replace7,[],13156.983543135357,0,0.0,228.69311393333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,0,0,12,0,69,23,10,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,111,3430.396709,0.03101654100464657
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,4,17,15,152,7,0.03176100000000015,15,11,13,,0,0,0,133,replace7_nearest,[],15987.393613916125,0,0.0,271.0985816,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,0,0,13,0,69,30,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,123,4066.478724,0.03178058302728459
10,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,10,18,15,167,9,0.04295399999999994,15,5,8,,0,20,0,147,replace9,[],13314.403764950386,0,0.0,241.39204999999998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,4,42,15,4,69,37,0,15,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,139,3620.88075,0.04305183299584314
11,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,8,19,15,160,9,0.0429259999999998,15,7,11,,0,0,0,139,replace9_nearest,[],15144.050975186321,0,0.0,262.9206794666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,5,51,14,5,69,30,2,15,ordinary,4,continuous_replacement_coverage_and_all_discovered_cleared,133,3943.810192,0.04296833404805511
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,10,10,136,,0.017516000000000087,10,5,5,,0,17,,124,baseline_task7,[],11259.243015925738,0,0.0,303.9848602,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,,,,,70,9,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,3039.848602,0.01756166701670736
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,10,10,136,7,0.020248000000000044,10,5,5,,0,17,0,124,replace7,[],11259.243015925738,0,0.0,303.9848602,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,0,0,10,0,70,9,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,118,3039.848602,0.02026241598650813
6,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,11,10,127,7,0.02248899999999998,10,5,6,,0,0,0,114,replace7_nearest,[],11261.575788903989,0,0.0,298.3315159,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,0,0,10,0,70,7,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,108,2983.315159,0.02252649998990819
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,7,10,10,154,9,0.025706999999999924,10,3,3,,0,17,0,142,replace9,[],11789.867465086163,0,0.0,325.0973493,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,2,27,9,2,70,7,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,133,3250.973493,0.025724959035869688
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,7,10,10,154,9,0.025366,10,3,3,,0,0,0,142,replace9_nearest,[],11789.867465086163,0,0.0,325.0973493,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,2,27,9,2,70,7,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,133,3250.973493,0.025397000019438565
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,13,12,132,,0.02303900000000003,12,6,7,,0,19,,117,baseline_task7,[],11493.867776214622,0,0.0,254.64779616666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,,,,,71,22,3,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3055.773554,0.02305845799855888
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,13,12,132,7,0.027646999999999977,12,6,7,,0,19,0,117,replace7,[],11493.867776214622,0,0.0,254.64779616666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,0,0,12,0,71,22,3,12,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,109,3055.773554,0.027669417031574994
8,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,7,14,12,143,7,0.026526999999999967,12,5,7,,0,0,0,127,replace7_nearest,[],12769.327948820017,0,0.0,281.07213233333334,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,1,13,10,1,71,25,5,12,ordinary,6,continuous_replacement_coverage_and_all_discovered_cleared,118,3372.865588,0.026562541956081986
7,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,10,13,12,154,9,0.035905000000000076,12,2,3,,0,17,0,139,replace9,[],12572.429599224317,0,0.0,283.2071599166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,4,41,12,4,71,28,1,12,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,126,3398.485919,0.03592695901170373
12,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,11,15,12,158,9,0.03794800000000009,12,1,4,,0,0,0,141,replace9_nearest,[],13155.746169372527,0,0.0,294.51243600000004,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,4,40,12,4,71,25,1,12,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,129,3534.149232,0.038035582983866334
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,15,10,139,,0.019971000000000183,10,1,6,,0,17,,122,baseline_task7,[],12618.011098852454,0,0.0,331.3602219,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,,,,67,7,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3313.602219,0.019987375009804964
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,15,10,139,7,0.023909999999999876,10,1,6,,0,17,0,122,replace7,[],12618.011098852454,0,0.0,331.3602219,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,0,10,0,67,7,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,115,3313.602219,0.02393195900367573
9,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,8,16,10,140,7,0.023553999999999853,10,2,8,,0,0,0,122,replace7_nearest,[],11738.875397835369,0,0.0,313.9775079,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,0,9,0,67,11,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,114,3139.775079,0.023597833001986146
8,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,6,14,10,157,9,0.02651300000000001,10,4,8,,0,17,0,141,replace9,[],13012.500716676828,0,0.0,350.4500144,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,2,23,10,2,67,9,1,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,135,3504.500144,0.026549416943453252
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,6,15,10,157,9,0.027079999999999993,10,4,9,,0,0,0,140,replace9_nearest,[],11868.462690629232,0,0.0,327.2692539,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,2,23,9,2,67,8,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,134,3272.692539,0.027128416986670345
11,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,21,15,164,,0.03129500000000007,15,1,7,,0,22,,141,baseline_task7,[],12707.008697597137,0,0.0,231.36011599999998,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,,,,68,37,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,131,3470.40174,0.03131133294664323
11,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,21,15,164,7,0.03711700000000007,15,1,7,,0,22,0,141,replace7,[],12707.008697597137,0,0.0,231.36011599999998,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,0,14,0,68,37,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,131,3470.40174,0.03715304197976366
13,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,13,23,15,179,7,0.03658300000000003,15,2,10,,0,0,0,154,replace7_nearest,[],11996.77312336986,0,0.0,227.49030826666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,0,14,0,68,43,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,144,3412.354624,0.036643542000092566
10,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,13,21,15,178,9,0.043433000000000055,15,2,8,,0,21,0,155,replace9,[],11336.571600811143,0,0.0,218.75428793333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,3,27,12,3,68,38,0,15,ordinary,6,continuous_replacement_coverage_and_all_discovered_cleared,146,3281.314319,0.043491916032508016
15,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,12,25,15,174,9,0.04379500000000025,15,3,13,,0,0,0,147,replace9_nearest,[],11587.814648166011,0,0.0,219.7041952666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,5,36,15,5,68,40,0,15,ordinary,4,continuous_replacement_coverage_and_all_discovered_cleared,138,3295.562929,0.04381370800547302
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,19,15,153,,0.029036999999999757,15,6,10,,0,22,,132,baseline_task7,[],13112.311275903154,0,0.0,232.830817,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,,,,,69,26,6,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3492.462255,0.029063041030894965
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,19,15,153,7,0.03348899999999988,15,6,10,,0,22,0,132,replace7,[],13112.311275903154,0,0.0,232.830817,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,0,0,12,0,69,26,6,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,123,3492.462255,0.03351804200792685
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,7,20,15,166,7,0.03302700000000014,15,8,13,,0,0,0,144,replace7_nearest,[],15919.372277583429,0,0.0,275.1916301333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,0,0,13,0,69,38,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,134,4127.874452,0.033049834019038826
12,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,10,21,15,166,9,0.04831199999999969,15,5,11,,0,20,0,143,replace9,[],13342.659727790733,0,0.0,240.70212986666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,4,42,15,4,69,31,0,15,ordinary,5,continuous_replacement_coverage_and_all_discovered_cleared,134,3610.531948,0.048402209009509534
13,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,10,22,15,174,9,0.04321600000000014,15,5,12,,0,0,0,150,replace9_nearest,[],15066.046545489373,0,0.0,266.81395406666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,5,51,14,5,69,39,2,15,ordinary,4,continuous_replacement_coverage_and_all_discovered_cleared,143,4002.209311,0.04327258298872039
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,13,10,134,,0.017992000000000008,10,2,5,,0,17,,119,baseline_task7,[],11260.065709941298,0,0.0,302.10131409999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,,,,,70,7,6,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3021.013141,0.01801070902729407
