active_measurements,active_no_signal,all_cleared,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,failure,inconsistent_updates,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,problem,seed,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
15,0,True,uniform__iid__70,uniform__iid,10,10,10,145,0.12041099999999982,10,,0,133,baseline_peer9_active,[],18543.50539511131,0,0.0,454.6701081,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,4546.701081,0.12068308400921524
15,0,True,uniform__iid__70,uniform__iid,10,10,10,145,0.1272379999999993,10,,0,133,q3_square9_h860_active,[],19198.42029699635,0,0.0,467.66840599999995,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4676.68406,0.12748224998358637
16,0,True,uniform__iid__70,uniform__iid,10,10,10,146,0.13165300000000002,10,,0,134,q3_square9_h900_active,[],19588.34975322149,0,0.0,475.96699509999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4759.669951,0.13199858396546915
16,0,True,uniform__iid__70,uniform__iid,10,10,10,146,0.1257250000000001,10,,0,134,q3_square9_h1000_active,[],20471.96936763226,0,0.0,493.73938749999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,4937.393875,0.12608279200503603
17,0,True,uniform__iid__70,uniform__iid,10,10,10,147,0.13606500000000032,10,,0,135,q3_square9_h1100_active,[],20863.146769568943,0,0.0,502.06293560000006,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,5020.629356,0.13632670795777813
15,0,True,uniform__iid__70,uniform__iid,10,10,10,145,0.110684,10,,0,133,q3_square9_h1200_active,[],20628.72212526241,0,0.0,496.27444249999996,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4962.744425,0.11089945904677734
15,0,True,uniform__iid__70,uniform__iid,10,10,10,145,0.12410099999999957,10,,0,133,q3_alternating9_active,[],15601.699585086588,0,0.0,395.83399180000004,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,3958.339918,0.1243854999775067
15,0,True,uniform__iid__70,uniform__iid,10,10,10,145,0.1186929999999995,10,,0,133,q3_alternating9_wide_active,[],15679.526769759519,0,0.0,397.3905354,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,3973.905354,0.11897691700141877
19,0,True,uniform__iid__71,uniform__iid,12,12,12,131,0.1472630000000006,12,,0,117,baseline_peer9_active,[],21144.638284816156,0,0.0,414.91063825,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4978.927659,0.14763616694835946
22,0,True,uniform__iid__71,uniform__iid,12,12,12,137,0.17304100000000044,12,,0,123,q3_square9_h860_active,[],19691.942084126025,0,0.0,393.44903458333334,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4721.388415,0.17342537501826882
22,0,True,uniform__iid__71,uniform__iid,12,12,12,137,0.17215900000000062,12,,0,123,q3_square9_h900_active,[],19615.86658354084,0,0.0,392.1811098333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4706.173318,0.17260854202322662
19,0,True,uniform__iid__71,uniform__iid,12,12,12,134,0.144158,12,,0,120,q3_square9_h1000_active,[],19463.16272242688,0,0.0,388.38604549999997,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4660.632546,0.14451320801163092
19,0,True,uniform__iid__71,uniform__iid,12,12,12,134,0.14241300000000034,12,,0,120,q3_square9_h1100_active,[],19597.89927503289,0,0.0,390.63165449999997,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4687.579854,0.14267641596961766
19,0,True,uniform__iid__71,uniform__iid,12,12,12,134,0.14819400000000016,12,,0,120,q3_square9_h1200_active,[],20362.63643873525,0,0.0,403.37727416666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4840.52729,0.1485681670019403
21,0,True,uniform__iid__71,uniform__iid,12,12,12,133,0.17181900000000017,12,,0,119,q3_alternating9_active,[],20689.328645211524,0,0.0,408.1554773333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4897.865728,0.1763877909979783
21,0,True,uniform__iid__71,uniform__iid,12,12,12,133,0.1632320000000007,12,,0,119,q3_alternating9_wide_active,[],20563.620905646232,0,0.0,406.06034833333337,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4872.72418,0.1635954580269754
17,0,True,uniform__smooth__67,uniform__smooth,10,10,10,151,0.14205099999999948,10,,0,139,baseline_peer9_active,[],16811.382741927024,0,0.0,423.5276549,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4235.276549,0.14339687500614673
17,0,True,uniform__smooth__67,uniform__smooth,10,10,10,148,0.13716599999999968,10,,0,136,q3_square9_h860_active,[],18279.98868327628,0,0.0,451.0997738,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,125,4510.997738,0.13757570803863928
17,0,True,uniform__smooth__67,uniform__smooth,10,10,10,148,0.13802599999999998,10,,0,136,q3_square9_h900_active,[],18242.623793432558,0,0.0,450.35247630000003,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,125,4503.524763,0.1386120410170406
16,0,True,uniform__smooth__67,uniform__smooth,10,10,10,148,0.13234699999999933,10,,0,136,q3_square9_h1000_active,[],18120.624927245273,0,0.0,448.1124987,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4481.124987,0.1327057919697836
15,0,True,uniform__smooth__67,uniform__smooth,10,10,10,147,0.11861500000000014,10,,0,135,q3_square9_h1100_active,[],18168.48380370425,0,0.0,448.56967629999997,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4485.696763,0.11887375003425404
15,0,True,uniform__smooth__67,uniform__smooth,10,10,10,147,0.12432899999999947,10,,0,135,q3_square9_h1200_active,[],18416.600131959567,0,0.0,453.53200269999996,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4535.320027,0.1249697920284234
18,0,True,uniform__smooth__67,uniform__smooth,10,10,10,151,0.14619499999999963,10,,0,139,q3_alternating9_active,[],17097.04507879713,0,0.0,429.14090180000005,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4291.409018,0.1466051249881275
19,0,True,uniform__smooth__67,uniform__smooth,10,10,10,152,0.16056700000000035,10,,0,140,q3_alternating9_wide_active,[],16611.624872239903,0,0.0,419.93249779999996,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4199.324978,0.16102104203309864
27,0,True,uniform__smooth__68,uniform__smooth,15,15,15,126,0.21302600000000016,15,,0,109,baseline_peer9_active,[],22404.480286654863,0,0.0,346.19307046666665,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,92,5192.896057,0.21361787500791252
29,0,True,uniform__smooth__68,uniform__smooth,15,15,15,122,0.23475999999999964,15,,0,105,q3_square9_h860_active,[],22927.073585996113,0,0.0,351.3609810666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5270.414716,0.2352823750115931
28,0,True,uniform__smooth__68,uniform__smooth,15,15,15,121,0.2252270000000003,15,,0,104,q3_square9_h900_active,[],22717.717377827845,0,0.0,348.23623173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5223.543476,0.2259372920379974
29,0,True,uniform__smooth__68,uniform__smooth,15,15,15,122,0.23464000000000063,15,,0,105,q3_square9_h1000_active,[],22625.873054227264,0,0.0,347.34497393333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5210.174609,0.2352777500054799
29,0,True,uniform__smooth__68,uniform__smooth,15,15,15,122,0.23381700000000016,15,,0,105,q3_square9_h1100_active,[],22532.056315485283,0,0.0,346.094084,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5191.41126,0.2342884999816306
28,0,True,uniform__smooth__68,uniform__smooth,15,15,15,121,0.22089400000000126,15,,0,104,q3_square9_h1200_active,[],22633.38003967517,0,0.0,347.1117336666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5206.676005,0.2214864160050638
28,0,True,uniform__smooth__68,uniform__smooth,15,15,15,138,0.22337799999999852,15,,0,121,q3_alternating9_active,[],23035.281366758165,0,0.0,359.3370848,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,103,5390.056272,0.22383983398322016
27,0,True,uniform__smooth__68,uniform__smooth,15,15,15,137,0.20924999999999905,15,,0,120,q3_alternating9_wide_active,[],22801.97510252426,0,0.0,355.8930012,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,103,5338.395018,0.20979854196775705
27,0,True,uniform__smooth__69,uniform__smooth,15,15,15,132,0.21306199999999897,15,,0,115,baseline_peer9_active,[],22475.424227992935,0,0.0,349.7389898,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,101,5246.084847,0.21358720801072195
26,0,True,uniform__smooth__69,uniform__smooth,15,15,15,135,0.21195200000000014,15,,0,118,q3_square9_h860_active,[],20810.50879754601,0,0.0,328.80678413333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,105,4932.101762,0.21239541698014364
25,0,True,uniform__smooth__69,uniform__smooth,15,15,15,134,0.1978439999999999,15,,0,117,q3_square9_h900_active,[],20578.98193294592,0,0.0,325.3864259333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,105,4880.796389,0.19830816600006074
24,0,True,uniform__smooth__69,uniform__smooth,15,15,15,132,0.1889099999999999,15,,0,115,q3_square9_h1000_active,[],20554.805968887067,0,0.0,324.3307462666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,104,4864.961194,0.1892789999837987
25,0,True,uniform__smooth__69,uniform__smooth,15,15,15,133,0.1997080000000011,15,,0,116,q3_square9_h1100_active,[],20535.53037593997,0,0.0,324.4070719333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,104,4866.106079,0.20026899996446446
24,0,True,uniform__smooth__69,uniform__smooth,15,15,15,132,0.1902550000000005,15,,0,115,q3_square9_h1200_active,[],20693.264066159383,0,0.0,326.1768542666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,104,4892.652814,0.1907518749940209
26,0,True,uniform__smooth__69,uniform__smooth,15,15,15,127,0.21759099999999876,15,,0,110,q3_alternating9_active,[],23706.710083178263,0,0.0,364.22280113333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,97,5463.342017,0.22160279197851196
27,0,True,uniform__smooth__69,uniform__smooth,15,15,15,127,0.2084349999999997,15,,0,110,q3_alternating9_wide_active,[],23772.67068721843,0,0.0,364.96894260000005,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,95,5474.534139,0.20882733399048448
15,0,True,uniform__smooth__70,uniform__smooth,10,10,10,145,0.11723500000000087,10,,0,133,baseline_peer9_active,[],18314.12298366709,0,0.0,450.08245989999995,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,4500.824599,0.11746300000231713
16,0,True,uniform__smooth__70,uniform__smooth,10,10,10,146,0.13197500000000062,10,,0,134,q3_square9_h860_active,[],18964.792711179016,0,0.0,463.49585420000005,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4634.958542,0.13225533399963751
16,0,True,uniform__smooth__70,uniform__smooth,10,10,10,146,0.13317500000000138,10,,0,134,q3_square9_h900_active,[],19357.088908775582,0,0.0,471.3417784,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4713.417784,0.133428749977611
17,0,True,uniform__smooth__70,uniform__smooth,10,10,10,147,0.13320500000000024,10,,0,135,q3_square9_h1000_active,[],19956.48030102957,0,0.0,483.9296059,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,4839.296059,0.13353454100433737
16,0,True,uniform__smooth__70,uniform__smooth,10,10,10,146,0.1206359999999993,10,,0,134,q3_square9_h1100_active,[],20327.953752389014,0,0.0,490.75907500000005,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4907.59075,0.12093570799333975
15,0,True,uniform__smooth__70,uniform__smooth,10,10,10,145,0.11066100000000034,10,,0,133,q3_square9_h1200_active,[],20440.14793667396,0,0.0,492.50295850000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4925.029585,0.11093541700392962
15,0,True,uniform__smooth__70,uniform__smooth,10,10,10,145,0.12647800000000053,10,,0,133,q3_alternating9_active,[],15559.837961916004,0,0.0,394.9967592,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,3949.967592,0.1268618750036694
15,0,True,uniform__smooth__70,uniform__smooth,10,10,10,145,0.1192890000000002,10,,0,133,q3_alternating9_wide_active,[],15418.921331303423,0,0.0,392.1784268,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,10,ordinary,9,full_coverage_and_all_discovered_cleared,123,3921.784268,0.11960458394605666
19,0,True,uniform__smooth__71,uniform__smooth,12,12,12,131,0.17534700000000036,12,,0,117,baseline_peer9_active,[],21028.92466585977,0,0.0,412.98207783333334,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4955.784934,0.18189608299871907
22,0,True,uniform__smooth__71,uniform__smooth,12,12,12,137,0.18214099999999966,12,,0,123,q3_square9_h860_active,[],19618.588094522707,0,0.0,392.22646825,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4706.717619,0.18261712504317984
22,0,True,uniform__smooth__71,uniform__smooth,12,12,12,137,0.18131199999999836,12,,0,123,q3_square9_h900_active,[],19546.8090898586,0,0.0,391.0301514166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4692.361817,0.1817802499863319
20,0,True,uniform__smooth__71,uniform__smooth,12,12,12,135,0.16220699999999866,12,,0,121,q3_square9_h1000_active,[],19441.125882886594,0,0.0,388.43543124999997,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4661.225175,0.16256899997824803
19,0,True,uniform__smooth__71,uniform__smooth,12,12,12,134,0.15249100000000126,12,,0,120,q3_square9_h1100_active,[],19477.024507131562,0,0.0,388.61707516666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4663.404902,0.15282987500540912
19,0,True,uniform__smooth__71,uniform__smooth,12,12,12,134,0.15461600000000075,12,,0,120,q3_square9_h1200_active,[],20217.0894049214,0,0.0,400.95149,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,108,4811.41788,0.15497837495058775
21,0,True,uniform__smooth__71,uniform__smooth,12,12,12,133,0.1712480000000003,12,,0,119,q3_alternating9_active,[],20611.08240930546,0,0.0,406.8513735833333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4882.216483,0.17177533300127834
21,0,True,uniform__smooth__71,uniform__smooth,12,12,12,133,0.1711469999999995,12,,0,119,q3_alternating9_wide_active,[],20420.7540959623,0,0.0,403.6792349166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4844.150819,0.17158187500899658
