active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
17,0,True,,,,,,uniform__iid__149,uniform__iid,10,,,10,10,154,,,,,,0.13570599999999988,,10,,,,,,,,,,,0,,7.029203698039055e-05,,,,,,,142,peer_layout9_proxy,,,[],16922.773289834244,0,,0.0,,,,,427.55546599999997,"[1, 3, 4, 5, 9, 10, 13, 15, 17, 18]",,,3,,,149,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,131,4275.55466,,,,0.13580624997848645
7,0,True,0,0,0,0,0,uniform__iid__149,uniform__iid,5,,,10,10,139,1.0,,,,,0.019343999999999806,,10,,5,5,False,,,,,,,0,,6.191700231283903e-05,,17,0,,,,127,area_return1_7,,,[],13060.069155502457,0,37.7288221398978,0.0,5,,,,341.601383,"[1, 3, 4, 5, 9, 10, 13, 15, 17, 18]",,,3,,,149,,10,,2,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3416.01383,,,True,0.01934504200471565
7,0,True,0,0,0,0,0,uniform__iid__149,uniform__iid,5,3,,10,10,136,1.0,,,base,0,0.019001000000000046,,10,,5,5,False,,,,,False,,0,0,0.00014262500917539,,17,0,,,,124,range_area7,,,[],13060.069155502457,0,37.7288221398978,0.0,5,,,,339.801383,"[1, 3, 4, 5, 9, 10, 13, 15, 17, 18]",,,3,,,149,1.0,10,,2,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3398.01383,,,True,0.01901799999177456
7,0,True,0,0,0,0,0,uniform__iid__149,uniform__iid,5,3,3,10,10,136,1.0,,,base,0,0.019860999999999907,0,10,,5,5,False,,3,0,3,False,,0,0,7.395801367238164e-05,,17,0,4,,,124,deferred_area7,10,,[],13060.069155502457,0,37.7288221398978,0.0,5,,,0,339.801383,"[1, 3, 4, 5, 9, 10, 13, 15, 17, 18]",0,,3,,,149,1.0,10,,2,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3398.01383,,,True,0.019860917003825307
7,0,True,0,0,0,0,0,uniform__iid__149,uniform__iid,5,3,3,10,10,136,1.0,,,base,0,0.01967500000000011,0,10,,5,5,False,,3,0,3,False,,0,0,6.987497908994555e-05,,17,0,4,,,124,lean_deferred_area7,10,,[],13060.069155502457,0,37.7288221398978,0.0,5,,,0,339.801383,"[1, 3, 4, 5, 9, 10, 13, 15, 17, 18]",0,,3,,,149,1.0,10,,2,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3398.01383,,,True,0.019680500030517578
26,0,True,,,,,,uniform__iid__150,uniform__iid,16,,,16,16,111,,,,,,0.20524600000000004,,16,,,,,,,,,,,0,,6.395799573510885e-05,,,,,,,93,peer_layout9_proxy,,,[],18094.85583024845,0,,0.0,,,,,265.185698,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19]",,,3,,,150,,,,,,,16,ordinary,7,public_upper_bound_16,79,4242.971168,,,,0.20536470803199336
3,0,True,0,0,0,0,0,uniform__iid__150,uniform__iid,8,,,16,16,141,1.0,,,,,0.02759699999999987,,16,,8,8,False,,,,,,,0,,6.35419855825603e-05,,22,1,,,,123,area_return1_7,,,[],12943.005120772377,0,47.954816095322,0.0,8,,,,212.4750640625,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19]",,,3,,,150,,25,,2,,,16,ordinary,6,public_upper_bound_16,116,3399.601025,,,True,0.02760820899857208
3,0,True,0,0,0,0,0,uniform__iid__150,uniform__iid,8,4,,16,16,137,1.0,,,base,0,0.027190000000000047,,16,,8,8,False,,,,,False,,0,0,7.833301788195968e-05,,22,1,,,,119,range_area7,,,[],12943.005120772377,0,47.954816095322,0.0,8,,,,211.0375640625,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19]",,,3,,,150,1.0,25,,2,,,16,ordinary,6,public_upper_bound_16,113,3376.601025,,,True,0.02722825005184859
3,0,True,0,0,0,0,0,uniform__iid__150,uniform__iid,8,4,4,16,16,137,1.0,,,base,0,0.027566999999999897,1,16,,8,8,False,,4,0,3,False,,0,0,7.570796879008412e-05,,22,1,4,,,119,deferred_area7,5,,[],12943.005120772377,0,47.954816095322,0.0,8,,,0,211.0375640625,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19]",0,,3,,,150,1.0,25,,2,,,16,ordinary,6,public_upper_bound_16,113,3376.601025,,,True,0.027567540993914008
3,0,True,0,0,0,0,0,uniform__iid__150,uniform__iid,8,4,4,16,16,137,1.0,,,base,0,0.02701500000000001,1,16,,8,8,False,,4,0,3,False,,0,0,7.662497228011489e-05,,22,1,4,,,119,lean_deferred_area7,5,,[],12943.005120772377,0,47.954816095322,0.0,8,,,0,211.0375640625,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19]",0,,3,,,150,1.0,25,,2,,,16,ordinary,6,public_upper_bound_16,113,3376.601025,,,True,0.02702379203401506
25,0,True,,,,,,uniform__iid__151,uniform__iid,15,,,15,15,143,,,,,,0.20135400000000003,,15,,,,,,,,,,,0,,6.408302579075098e-05,,,,,,,126,peer_layout9_proxy,,,[],20293.30062133026,0,,0.0,,,,,325.04400833333335,"[2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,,,151,,,,,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,112,4875.660125,,,,0.20144600002095103
6,0,True,0,0,0,0,0,uniform__iid__151,uniform__iid,6,,,15,15,127,1.0,,,,,0.027210999999999874,,15,,9,9,False,,,,,,,0,,6.791698979213834e-05,,22,0,,,,110,area_return1_7,,,[],14372.566124893434,0,30.982844493325885,0.0,6,,,,239.96754833333335,"[2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,,,151,,17,,8,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,100,3599.513225,,,True,0.027237125032115728
6,0,True,0,0,0,0,0,uniform__iid__151,uniform__iid,6,0,,15,15,127,1.0,,,base,0,0.027162999999999826,,15,,9,9,False,,,,,False,,0,0,7.637502858415246e-05,,22,0,,,,110,range_area7,,,[],14372.566124893434,0,30.982844493325885,0.0,6,,,,239.96754833333335,"[2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,,,151,1.0,17,,8,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,100,3599.513225,,,True,0.027176540985237807
6,0,True,0,0,0,0,0,uniform__iid__151,uniform__iid,6,0,0,15,15,127,1.0,,,base,0,0.027537000000000145,0,15,,9,9,False,,0,0,0,False,,0,0,7.54999928176403e-05,,22,0,4,,,110,deferred_area7,6,,[],14372.566124893434,0,30.982844493325885,0.0,6,,,0,239.96754833333335,"[2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,,3,,,151,1.0,17,,8,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,100,3599.513225,,,True,0.02753708400996402
6,0,True,0,0,0,0,0,uniform__iid__151,uniform__iid,6,0,0,15,15,127,1.0,,,base,0,0.02730200000000016,0,15,,9,9,False,,0,0,0,False,,0,0,7.837498560547829e-05,,22,0,4,,,110,lean_deferred_area7,6,,[],14372.566124893434,0,30.982844493325885,0.0,6,,,0,239.96754833333335,"[2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,,3,,,151,1.0,17,,8,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,100,3599.513225,,,True,0.027322124980855733
28,0,True,,,,,,uniform__iid__152,uniform__iid,16,,,16,16,132,,,,,,0.23306300000000002,,16,,,,,,,,,,,0,,6.574997678399086e-05,,,,,,,114,peer_layout9_proxy,,,[],19535.92217662733,0,,0.0,,,,,291.0740270625,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 18, 19, 20]",,,3,,,152,,,,,,,16,ordinary,8,public_upper_bound_16,100,4657.184433,,,,0.2332135409815237
10,0,True,0,0,0,0,0,uniform__iid__152,uniform__iid,7,,,18,16,147,1.0,,,,,0.033186999999999856,,16,,9,11,False,,,,,,,0,,6.308400770649314e-05,,23,0,,,,127,area_return1_7,,,[],14740.964936740571,0,79.77011890766902,0.0,7,,,,236.6995616875,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 18, 19, 20]",,,3,,,152,,24,,10,,,16,ordinary,7,public_upper_bound_16,118,3787.192987,,,True,0.033204208011738956
10,0,True,0,0,0,0,0,uniform__iid__152,uniform__iid,7,4,,18,16,143,1.0,,,base,0,0.033361000000000196,,16,,9,11,False,,,,,False,,0,0,7.42500415071845e-05,,23,0,,,,123,range_area7,,,[],14740.964936740571,0,79.77011890766902,0.0,7,,,,235.1995616875,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 18, 19, 20]",,,3,,,152,1.0,24,,10,,,16,ordinary,7,public_upper_bound_16,114,3763.192987,,,True,0.03337883297353983
10,0,True,0,0,0,0,0,uniform__iid__152,uniform__iid,7,4,4,18,16,143,1.0,,,base,0,0.033564999999999845,0,16,,9,11,False,,4,0,4,False,,0,0,8.050003089010715e-05,,23,0,4,,,123,deferred_area7,5,,[],14740.964936740571,0,79.77011890766902,0.0,7,,,0,235.1995616875,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 18, 19, 20]",0,,3,,,152,1.0,24,,10,,,16,ordinary,7,public_upper_bound_16,114,3763.192987,,,True,0.033572833985090256
10,0,True,0,0,0,0,0,uniform__iid__152,uniform__iid,7,4,4,18,16,143,1.0,,,base,0,0.03364300000000009,0,16,,9,11,False,,4,0,4,False,,0,0,0.00016666704323142767,,23,0,4,,,123,lean_deferred_area7,5,,[],14740.964936740571,0,79.77011890766902,0.0,7,,,0,235.1995616875,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 18, 19, 20]",0,,3,,,152,1.0,24,,10,,,16,ordinary,7,public_upper_bound_16,114,3763.192987,,,True,0.033660874993074685
21,0,True,,,,,,uniform__iid__153,uniform__iid,13,,,13,13,139,,,,,,0.16873799999999983,,13,,,,,,,,,,,0,,8.241698378697038e-05,,,,,,,124,peer_layout9_proxy,,,[],18432.413730788085,0,,0.0,,,,,344.96021138461543,"[2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18]",,,3,,,153,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,113,4484.482748,,,,0.16890220798086375
6,0,True,0,0,0,0,0,uniform__iid__153,uniform__iid,8,,,14,13,137,1.0,,,,,0.023492999999999764,,13,,5,6,False,,,,,,,0,,6.675004260614514e-05,,20,0,,,,121,area_return1_7,,,[],11850.464679414245,0,54.43878107048498,0.0,8,,,,242.9302256923077,"[2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18]",,,3,,,153,,17,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,115,3158.092934,,,True,0.02350766700692475
6,0,True,0,0,0,0,0,uniform__iid__153,uniform__iid,8,7,,14,13,130,1.0,,,base,0,0.023204000000000224,,13,,5,6,False,,,,,False,,0,0,7.675000233575702e-05,,20,0,,,,114,range_area7,,,[],11850.464679414245,0,54.43878107048498,0.0,8,,,,239.69945646153843,"[2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18]",,,3,,,153,1.0,17,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,108,3116.092934,,,True,0.023204708995763212
6,0,True,0,0,0,0,0,uniform__iid__153,uniform__iid,8,7,7,14,13,130,1.0,,,base,0,0.023649000000000253,0,13,,5,6,False,,7,0,7,False,,0,0,6.829202175140381e-05,,20,0,4,,,114,deferred_area7,7,,[],11850.464679414245,0,54.43878107048498,0.0,8,,,0,239.69945646153843,"[2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18]",0,,3,,,153,1.0,17,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,108,3116.092934,,,True,0.023688666988164186
6,0,True,0,0,0,0,0,uniform__iid__153,uniform__iid,8,7,7,14,13,130,1.0,,,base,0,0.02314000000000016,0,13,,5,6,False,,7,0,7,False,,0,0,7.708399789407849e-05,,20,0,4,,,114,lean_deferred_area7,7,,[],11850.464679414245,0,54.43878107048498,0.0,8,,,0,239.69945646153843,"[2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18]",0,,3,,,153,1.0,17,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,108,3116.092934,,,True,0.02315287501551211
19,0,True,,,,,,uniform__iid__154,uniform__iid,11,,,11,11,148,,,,,,0.15223600000000026,,11,,,,,,,,,,,0,,5.9958023484796286e-05,,,,,,,135,peer_layout9_proxy,,,[],17953.64910746823,0,,0.0,,,,,403.9754383636364,"[1, 5, 7, 8, 10, 12, 13, 15, 16, 17, 18]",,,3,,,154,,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,123,4443.729822,,,,0.1523537499597296
8,0,True,0,0,0,0,0,uniform__iid__154,uniform__iid,4,,,13,11,144,1.0,,,,,0.021696999999999633,,11,,7,9,False,,,,,,,0,,6.895902333781123e-05,,18,0,,,,129,area_return1_7,,,[],11440.400743011074,0,42.293483270868975,0.0,4,,,,283.55274072727275,"[1, 5, 7, 8, 10, 12, 13, 15, 16, 17, 18]",,,3,,,154,,14,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,125,3119.080148,,,True,0.021709792024921626
8,0,True,0,0,0,0,0,uniform__iid__154,uniform__iid,4,0,,13,11,144,1.0,,,base,0,0.021478999999999804,,11,,7,9,False,,,,,False,,0,0,7.120799273252487e-05,,18,0,,,,129,range_area7,,,[],11440.400743011074,0,42.293483270868975,0.0,4,,,,283.55274072727275,"[1, 5, 7, 8, 10, 12, 13, 15, 16, 17, 18]",,,3,,,154,1.0,14,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,125,3119.080148,,,True,0.02152154198847711
8,0,True,0,0,0,0,0,uniform__iid__154,uniform__iid,4,0,0,13,11,144,1.0,,,base,0,0.021846000000000032,0,11,,7,9,False,,0,0,0,False,,0,0,7.904204539954662e-05,,18,0,4,,,129,deferred_area7,9,,[],11440.400743011074,0,42.293483270868975,0.0,4,,,0,283.55274072727275,"[1, 5, 7, 8, 10, 12, 13, 15, 16, 17, 18]",0,,3,,,154,1.0,14,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,125,3119.080148,,,True,0.021846165996976197
8,0,True,0,0,0,0,0,uniform__iid__154,uniform__iid,4,0,0,13,11,144,1.0,,,base,0,0.021368000000000276,0,11,,7,9,False,,0,0,0,False,,0,0,0.000161041971296072,,18,0,4,,,129,lean_deferred_area7,9,,[],11440.400743011074,0,42.293483270868975,0.0,4,,,0,283.55274072727275,"[1, 5, 7, 8, 10, 12, 13, 15, 16, 17, 18]",0,,3,,,154,1.0,14,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,125,3119.080148,,,True,0.02138383302371949
26,0,True,,,,,,uniform__iid__155,uniform__iid,14,,,14,14,137,,,,,,0.20126299999999997,,14,,,,,,,,,,,0,,6.458396092057228e-05,,,,,,,121,peer_layout9_proxy,,,[],20642.67190691944,0,,0.0,,,,,350.6095985714286,"[1, 2, 4, 5, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20]",,,3,,,155,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,105,4908.53438,,,,0.20138350001070648
10,0,True,0,0,0,0,0,uniform__iid__155,uniform__iid,10,,,16,14,126,1.0,,,,,0.026083999999999996,,14,,4,6,False,,,,,,,0,,5.679100286215544e-05,,21,0,,,,108,area_return1_7,,,[],13315.668745900026,0,101.06029225468575,0.0,10,,,,241.43812492857143,"[1, 2, 4, 5, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20]",,,3,,,155,,12,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,101,3380.133749,,,True,0.0260833750362508
10,0,True,0,0,0,0,0,uniform__iid__155,uniform__iid,10,0,,16,14,126,1.0,,,base,0,0.025615000000000165,,14,,4,6,False,,,,,False,,0,0,6.725004641339183e-05,,21,0,,,,108,range_area7,,,[],13315.668745900026,0,101.06029225468575,0.0,10,,,,241.43812492857143,"[1, 2, 4, 5, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20]",,,3,,,155,1.0,12,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,101,3380.133749,,,True,0.025639832951128483
10,0,True,0,0,0,0,0,uniform__iid__155,uniform__iid,10,0,0,16,14,126,1.0,,,base,0,0.026136999999999855,0,14,,4,6,False,,0,0,0,False,,0,0,7.141701644286513e-05,,21,0,4,,,108,deferred_area7,6,,[],13315.668745900026,0,101.06029225468575,0.0,10,,,0,241.43812492857143,"[1, 2, 4, 5, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20]",0,,3,,,155,1.0,12,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,101,3380.133749,,,True,0.026154916966333985
10,0,True,0,0,0,0,0,uniform__iid__155,uniform__iid,10,0,0,16,14,126,1.0,,,base,0,0.025924999999999976,0,14,,4,6,False,,0,0,0,False,,0,0,7.075001485645771e-05,,21,0,4,,,108,lean_deferred_area7,6,,[],13315.668745900026,0,101.06029225468575,0.0,10,,,0,241.43812492857143,"[1, 2, 4, 5, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20]",0,,3,,,155,1.0,12,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,101,3380.133749,,,True,0.0259385000099428
25,0,True,,,,,,uniform__iid__156,uniform__iid,13,,,13,13,135,,,,,,0.20196199999999997,,13,,,,,,,,,,,0,,6.587494863197207e-05,,,,,,,120,peer_layout9_proxy,,,[],19528.62481727716,0,,0.0,,,,,359.51730492307695,"[3, 5, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20]",,,3,,,156,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,103,4673.724964,,,,0.20212712499778718
7,0,True,0,0,0,0,0,uniform__iid__156,uniform__iid,9,,,13,13,136,1.0,,,,,0.024576000000000153,,13,,4,4,False,,,,,,,0,,6.620900239795446e-05,,20,0,,,,121,area_return1_7,,,[],12007.093089760667,0,62.24281712529234,0.0,9,,,,244.87835523076924,"[3, 5, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20]",,,3,,,156,,12,,3,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,112,3183.418618,,,True,0.024576166993938386
7,0,True,0,0,0,0,0,uniform__iid__156,uniform__iid,9,2,,13,13,134,1.0,,,base,0,0.024576000000000153,,13,,4,4,False,,,,,False,,0,0,7.937499321997166e-05,,20,0,,,,119,range_area7,,,[],12007.093089760667,0,62.24281712529234,0.0,9,,,,243.9552783076923,"[3, 5, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20]",,,3,,,156,1.0,12,,3,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,110,3171.418618,,,True,0.02460424997843802
7,0,True,0,0,0,0,0,uniform__iid__156,uniform__iid,9,2,2,13,13,134,1.0,,,base,0,0.02485399999999993,0,13,,4,4,False,,2,0,2,False,,0,0,7.358298171311617e-05,,20,0,4,,,119,deferred_area7,8,,[],12007.093089760667,0,62.24281712529234,0.0,9,,,0,243.9552783076923,"[3, 5, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20]",0,,3,,,156,1.0,12,,3,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,110,3171.418618,,,True,0.02487195801222697
