active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,discovery_prior_worlds,discovery_priority_overrides,early_optical_success,early_optical_trials,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,last_sampled_unknown_worlds,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
22,0,True,,,,,,uniform__iid__99,uniform__iid,13,13,13,126,0.16810800000000004,13,,,,,,,0,6.608298281207681e-05,,,,,,,111,peer_layout9_proxy,[],22051.106114687613,0,,0.0,,,,394.3247094615384,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 17, 19, 20]",3,99,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,96,5126.221223,0.16818258300190791
5,0,True,0,0,0,0,0,uniform__iid__99,uniform__iid,5,14,13,140,0.022192999999999907,13,,,8,9,,,0,5.370797589421272e-05,,20,0,,,,124,clearance7,[],11349.111702722868,0,51.56086371671604,0.0,5,,,236.37094915384614,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 17, 19, 20]",3,99,23,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,115,3072.822339,0.022191665950231254
4,0,True,0,0,0,0,0,uniform__iid__99,uniform__iid,7,14,13,150,0.02341799999999994,13,,,6,7,,,0,6.07079709880054e-05,,22,0,,,,134,clearance9,[],13249.254003818447,0,41.895962826615474,0.0,7,,,269.834677,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 17, 19, 20]",3,99,19,,1,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,120,3507.850801,0.023458584037143737
6,0,True,0,0,0,0,0,uniform__iid__99,uniform__iid,10,14,13,143,0.027001000000000053,13,,,3,4,,0,0,6.895902333781123e-05,1,26,0,,2,2,127,packet_center7,[],11416.947064144995,0,77.60937062560824,0.0,10,,0,238.79918553846153,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 17, 19, 20]",3,99,28,,12,1,19,13,ordinary,7,full_coverage_and_all_discovered_cleared,118,3104.389412,0.02702616702299565
3,0,True,0,0,0,0,0,uniform__iid__99,uniform__iid,6,13,13,148,0.02388199999999996,13,,,7,7,,0,0,6.791698979213834e-05,1,25,0,,1,1,133,packet_center9,[],12981.9741573858,0,31.27927114904716,0.0,6,,0,265.1072948461538,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 17, 19, 20]",3,99,19,,1,1,16,13,ordinary,9,full_coverage_and_all_discovered_cleared,120,3446.394833,0.023881583008915186
17,0,True,,,,,,uniform__iid__100,uniform__iid,11,11,11,157,0.1403700000000001,11,,,,,,,0,6.508303340524435e-05,,,,,,,144,peer_layout9_proxy,[],16000.958753911029,0,,0.0,,,,373.5628864545455,"[2, 6, 7, 9, 12, 13, 14, 15, 16, 17, 20]",3,100,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,134,4109.191751,0.1404617500375025
6,0,True,0,0,0,0,0,uniform__iid__100,uniform__iid,4,12,11,139,0.018297999999999925,11,,,7,8,,,0,5.6374992709606886e-05,,18,0,,,,125,clearance7,[],11871.590040943656,0,12.941957345680832,0.0,4,,,288.75618245454547,"[2, 6, 7, 9, 12, 13, 14, 15, 16, 17, 20]",3,100,7,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,119,3176.318007,0.018297875009011477
10,0,True,0,0,0,0,0,uniform__iid__100,uniform__iid,7,13,11,162,0.02280199999999999,11,,,4,6,,,0,0.0001449580304324627,,20,0,,,,147,clearance9,[],12726.818256079472,0,93.01362226782429,0.0,7,,,316.1239683636364,"[2, 6, 7, 9, 12, 13, 14, 15, 16, 17, 20]",3,100,12,,1,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,136,3477.363652,0.022841666999738663
7,0,True,0,0,0,0,0,uniform__iid__100,uniform__iid,4,12,11,140,0.019908999999999955,11,,,7,8,,0,0,7.504201494157314e-05,2,25,0,,2,2,126,packet_center7,[],12025.413919486038,0,19.333090585208424,0.0,4,,0,292.09843481818183,"[2, 6, 7, 9, 12, 13, 14, 15, 16, 17, 20]",3,100,7,,0,2,18,11,ordinary,7,full_coverage_and_all_discovered_cleared,120,3213.082783,0.01990804198430851
7,0,True,0,0,0,0,0,uniform__iid__100,uniform__iid,6,12,11,160,0.021564999999999834,11,,,5,6,,0,0,0.0001533330068923533,3,27,0,,2,2,146,packet_center9,[],12095.430814124244,0,65.96457392572016,0.0,6,,0,303.9169240909091,"[2, 6, 7, 9, 12, 13, 14, 15, 16, 17, 20]",3,100,12,,1,3,18,11,ordinary,9,full_coverage_and_all_discovered_cleared,136,3343.086165,0.021586332994047552
25,0,True,,,,,,uniform__iid__101,uniform__iid,14,14,14,124,0.19201900000000016,14,,,,,,,0,6.454100366681814e-05,,,,,,,108,peer_layout9_proxy,[],22781.970254294905,0,,0.0,,,,375.5995752142857,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18]",3,101,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,92,5258.394053,0.19214391702553257
3,0,True,0,0,0,0,0,uniform__iid__101,uniform__iid,6,15,14,133,0.024540999999999924,14,,,8,9,,,0,5.2749994210898876e-05,,21,0,,,,116,clearance7,[],11094.824023270485,0,33.82274284938005,0.0,6,,,212.997486,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18]",3,101,22,,2,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,110,2981.964804,0.02454179199412465
7,0,True,0,0,0,0,0,uniform__iid__101,uniform__iid,11,16,14,135,0.0256320000000001,14,,,3,5,,,0,5.7792000006884336e-05,,23,0,,,,117,clearance9,[],12771.75697492587,0,74.5375265886081,0.0,11,,,237.52509957142857,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18]",3,101,19,,14,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,110,3325.351394,0.025653625023551285
3,0,True,0,0,0,0,0,uniform__iid__101,uniform__iid,6,15,14,133,0.024924000000000168,14,,,8,9,,0,0,6.36249897070229e-05,0,24,0,,2,2,116,packet_center7,[],11094.824023270485,0,33.82274284938005,0.0,6,,0,212.997486,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18]",3,101,22,,2,0,17,14,ordinary,7,full_coverage_and_all_discovered_cleared,110,2981.964804,0.024941999989096075
7,0,True,0,0,0,0,0,uniform__iid__101,uniform__iid,11,15,14,131,0.02647899999999992,14,,,3,4,,0,0,6.433302769437432e-05,1,30,0,,1,1,114,packet_center9,[],12957.340332200263,0,91.72708901794923,0.0,11,,0,238.74771907142855,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18]",3,101,17,,1,1,21,14,ordinary,9,full_coverage_and_all_discovered_cleared,108,3342.468067,0.026496000005863607
17,0,True,,,,,,uniform__iid__102,uniform__iid,11,11,11,143,0.12729900000000005,11,,,,,,,0,5.8125006034970284e-05,,,,,,,130,peer_layout9_proxy,[],16217.500803742998,0,,0.0,,,,369.8636509090909,"[1, 5, 6, 7, 10, 12, 13, 14, 18, 19, 20]",3,102,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,120,4068.50016,0.12736033397959545
7,0,True,0,0,0,0,0,uniform__iid__102,uniform__iid,8,13,11,145,0.02373599999999998,11,,,3,5,,,0,5.1499984692782164e-05,,18,0,,,,130,clearance7,[],11073.999083880943,0,70.31030086154585,0.0,8,,,276.7090743636364,"[1, 5, 6, 7, 10, 12, 13, 14, 18, 19, 20]",3,102,19,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,118,3043.799818,0.02374070801306516
9,0,True,0,0,0,0,0,uniform__iid__102,uniform__iid,8,14,11,175,0.02567699999999995,11,,,3,6,,,0,6.441702134907246e-05,,20,0,,,,159,clearance9,[],12717.782443575321,0,63.781347172334335,0.0,8,,,322.68695354545457,"[1, 5, 6, 7, 10, 12, 13, 14, 18, 19, 20]",3,102,17,,1,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,147,3549.556489,0.025701207981910557
7,0,True,0,0,0,0,0,uniform__iid__102,uniform__iid,8,13,11,145,0.024268999999999874,11,,,3,5,,0,0,8.166697807610035e-05,0,24,0,,3,3,130,packet_center7,[],11073.999083880943,0,70.31030086154585,0.0,8,,1,276.7090743636364,"[1, 5, 6, 7, 10, 12, 13, 14, 18, 19, 20]",3,102,19,,0,0,17,11,ordinary,7,full_coverage_and_all_discovered_cleared,118,3043.799818,0.024274292052723467
8,0,True,0,0,0,0,0,uniform__iid__102,uniform__iid,8,14,11,173,0.026588999999999974,11,,,3,6,,0,0,0.00011041603283956647,2,27,0,,3,3,157,packet_center9,[],12324.228708107285,0,59.92393021756449,0.0,8,,1,314.4405220909091,"[1, 5, 6, 7, 10, 12, 13, 14, 18, 19, 20]",3,102,16,,1,2,18,11,ordinary,9,full_coverage_and_all_discovered_cleared,145,3458.845743,0.026588290988001972
25,0,True,,,,,,uniform__iid__103,uniform__iid,15,15,15,117,0.184207,15,,,,,,,0,7.454201113432646e-05,,,,,,,100,peer_layout9_proxy,[],20746.56641682633,0,,0.0,,,,320.6875522,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17, 18, 20]",3,103,,,,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,86,4810.313283,0.18436104099964723
5,0,True,0,0,0,0,0,uniform__iid__103,uniform__iid,9,16,15,136,0.02958599999999989,15,,,6,7,,,0,5.645799683406949e-05,,22,0,,,,118,clearance7,[],11490.865762257701,0,69.8938803249658,0.0,9,,,204.8115436,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17, 18, 20]",3,103,25,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,106,3072.173154,0.02958587504690513
6,0,True,0,0,0,0,0,uniform__iid__103,uniform__iid,9,15,15,157,0.028941000000000106,15,,,6,6,,,0,6.741599645465612e-05,,24,0,,,,140,clearance9,[],14467.775202429544,0,69.3706622549908,0.0,9,,,253.10366919999998,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17, 18, 20]",3,103,28,,25,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,128,3796.555038,0.028977374953683466
5,0,True,0,0,0,0,0,uniform__iid__103,uniform__iid,9,16,15,136,0.028870999999999647,15,,,6,7,,0,0,7.812498370185494e-05,0,27,0,,2,2,118,packet_center7,[],11490.865762257701,0,69.8938803249658,0.0,9,,0,204.8115436,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17, 18, 20]",3,103,25,,9,0,20,15,ordinary,7,full_coverage_and_all_discovered_cleared,106,3072.173154,0.02891283400822431
4,0,True,0,0,0,0,0,uniform__iid__103,uniform__iid,10,15,15,160,0.03099199999999991,15,,,5,5,,0,0,6.670801667496562e-05,1,28,0,,1,1,143,packet_center9,[],13992.842386224742,0,84.04807603374722,0.0,10,,0,248.17123173333331,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17, 18, 20]",3,103,28,,14,1,19,15,ordinary,9,full_coverage_and_all_discovered_cleared,134,3722.568476,0.031010041013360023
14,0,True,,,,,,uniform__iid__104,uniform__iid,10,10,10,142,0.10464800000000007,10,,,,,,,0,6.908300565555692e-05,,,,,,,130,peer_layout9_proxy,[],16242.33916887003,0,,0.0,,,,407.0467835,"[1, 3, 7, 8, 11, 12, 13, 14, 16, 18]",3,104,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,122,4070.467835,0.10487199999624863
5,0,True,0,0,0,0,0,uniform__iid__104,uniform__iid,4,10,10,137,0.017239000000000004,10,,,6,6,,,0,5.479104584082961e-05,,17,0,,,,125,clearance7,[],12556.83429131652,0,27.797954835979056,0.0,4,,,330.2366857,"[1, 3, 7, 8, 11, 12, 13, 14, 16, 18]",3,104,11,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3302.366857,0.01726220897398889
8,0,True,0,0,0,0,0,uniform__iid__104,uniform__iid,6,12,10,169,0.022685000000000066,10,,,4,6,,,0,5.783402593806386e-05,,19,0,,,,155,clearance9,[],13333.42293622974,0,56.145834838893975,0.0,6,,,364.2684588,"[1, 3, 7, 8, 11, 12, 13, 14, 16, 18]",3,104,10,,1,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,145,3642.684588,0.022684749972540885
5,0,True,0,0,0,0,0,uniform__iid__104,uniform__iid,3,10,10,136,0.01847500000000002,10,,,7,7,,0,0,7.287500193342566e-05,1,22,0,,1,1,124,packet_center7,[],12857.34914179547,0,19.09583971409856,0.0,3,,0,335.74698279999996,"[1, 3, 7, 8, 11, 12, 13, 14, 16, 18]",3,104,13,,1,1,15,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3357.469828,0.01849887502612546
8,0,True,0,0,0,0,0,uniform__iid__104,uniform__iid,6,12,10,169,0.023255999999999943,10,,,4,6,,0,0,6.199994822964072e-05,0,27,0,,2,2,155,packet_center9,[],13333.42293622974,0,56.145834838893975,0.0,6,,0,364.2684588,"[1, 3, 7, 8, 11, 12, 13, 14, 16, 18]",3,104,10,,1,0,18,10,ordinary,9,full_coverage_and_all_discovered_cleared,145,3642.684588,0.023277625034097582
23,0,True,,,,,,uniform__iid__105,uniform__iid,14,14,14,141,0.17970699999999962,14,,,,,,,0,7.320899749174714e-05,,,,,,,125,peer_layout9_proxy,[],17334.90171394537,0,,0.0,,,,305.35573892857144,"[1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 19, 20]",3,105,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,113,4274.980345,0.17984687496209517
4,0,True,0,0,0,0,0,uniform__iid__105,uniform__iid,8,14,14,144,0.02606200000000003,14,,,6,6,,,0,7.629103492945433e-05,,21,0,,,,128,clearance7,[],12105.303880693184,0,55.88289161973307,0.0,8,,,232.00434114285713,"[1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 19, 20]",3,105,33,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,117,3248.060776,0.026076250011101365
9,0,True,0,0,0,0,0,uniform__iid__105,uniform__iid,7,16,14,143,0.02488199999999985,14,,,7,9,,,0,0.0001453340519219637,,23,0,,,,125,clearance9,[],13507.778494198119,0,34.17826345321194,0.0,7,,,251.25397857142858,"[1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 19, 20]",3,105,14,,2,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,115,3517.5557,0.024883082951419055
4,0,True,0,0,0,0,0,uniform__iid__105,uniform__iid,8,14,14,144,0.02576299999999998,14,,,6,6,,0,0,6.916699931025505e-05,0,25,0,,1,1,128,packet_center7,[],12105.303880693184,0,55.88289161973307,0.0,8,,0,232.00434114285713,"[1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 19, 20]",3,105,33,,0,0,18,14,ordinary,7,full_coverage_and_all_discovered_cleared,117,3248.060776,0.02576816699001938
10,0,True,0,0,0,0,0,uniform__iid__105,uniform__iid,7,16,14,143,0.025943999999999967,14,,,7,9,,0,0,0.00014100002590566874,1,33,0,,2,2,125,packet_center9,[],13689.368524908812,0,35.25634784879742,0.0,7,,0,253.91955042857143,"[1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 19, 20]",3,105,13,,2,1,24,14,ordinary,9,full_coverage_and_all_discovered_cleared,116,3554.873706,0.025969957991037518
24,0,True,,,,,,uniform__iid__106,uniform__iid,15,15,15,141,0.18263000000000007,15,,,,,,,0,6.512500112876296e-05,,,,,,,124,peer_layout9_proxy,[],21268.32172712716,0,,0.0,,,,337.2442896,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 16, 17, 18, 19, 20]",3,106,,,,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,110,5058.664344,0.182704292004928
3,0,True,0,0,0,0,0,uniform__iid__106,uniform__iid,7,15,15,145,0.028585000000000083,15,,,8,8,,,0,5.783402593806386e-05,,22,0,,,,128,clearance7,[],12414.083873161939,0,40.71865596079931,0.0,7,,,221.12111826666666,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 16, 17, 18, 19, 20]",3,106,27,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,119,3316.816774,0.02859662496484816
8,0,True,0,0,0,0,0,uniform__iid__106,uniform__iid,10,16,15,163,0.02894299999999994,15,,,5,6,,,0,6.675004260614514e-05,,24,0,,,,145,clearance9,[],14891.208905087771,0,55.39529403420541,0.0,10,,,260.8161187333333,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 16, 17, 18, 19, 20]",3,106,33,,0,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,131,3912.241781,0.02896945900283754
6,0,True,0,0,0,0,0,uniform__iid__106,uniform__iid,10,15,15,150,0.0317409999999998,15,,,5,5,,0,0,8.133304072543979e-05,1,28,0,,1,1,133,packet_center7,[],12245.775216867081,0,65.80680476621228,0.0,10,,0,220.81033620000002,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 16, 17, 18, 19, 20]",3,106,24,,1,1,21,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3312.155043,0.03175199998077005
8,0,True,0,0,0,0,0,uniform__iid__106,uniform__iid,10,16,15,163,0.03024899999999997,15,,,5,6,,0,0,7.433403516188264e-05,0,32,0,,2,2,145,packet_center9,[],14891.208905087771,0,55.39529403420541,0.0,10,,0,260.8161187333333,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 16, 17, 18, 19, 20]",3,106,33,,0,0,23,15,ordinary,9,full_coverage_and_all_discovered_cleared,131,3912.241781,0.030284249980468303
21,0,True,,,,,,uniform__smooth__97,uniform__smooth,11,11,11,143,0.16790600000000033,11,,,,,,,0,8.499994874000549e-05,,,,,,,130,peer_layout9_proxy,[],15919.069581594076,0,,0.0,,,,363.98308336363635,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,115,4003.813917,0.16843391599832103
3,0,True,0,0,0,0,0,uniform__smooth__97,uniform__smooth,2,11,11,144,0.01838899999999999,11,,,9,9,,,0,5.883298581466079e-05,,18,0,,,,131,clearance7,[],10732.01768335759,0,18.10212007242521,0.0,2,,,270.854867,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,20,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,123,2979.403537,0.018389082979410887
6,0,True,0,0,0,0,0,uniform__smooth__97,uniform__smooth,6,12,11,155,0.021012000000000253,11,,,5,6,,,0,7.220800034701824e-05,,20,0,,,,141,clearance9,[],12828.8573806436,0,53.36914712259503,0.0,6,,,314.8883158181818,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,10,,0,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,135,3463.771474,0.021099957986734807
3,0,True,0,0,0,0,0,uniform__smooth__97,uniform__smooth,2,11,11,144,0.018215000000000092,11,,,9,9,,0,0,7.204199209809303e-05,0,21,0,,1,1,131,packet_center7,[],10732.01768335759,0,18.10212007242521,0.0,2,,0,270.854867,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,20,,0,0,14,11,ordinary,7,full_coverage_and_all_discovered_cleared,123,2979.403537,0.018218833953142166
9,0,True,0,0,0,0,0,uniform__smooth__97,uniform__smooth,9,14,11,150,0.02221800000000007,11,,,2,5,,0,0,6.658298661932349e-05,2,29,0,,2,2,134,packet_center9,[],12691.039563247625,0,44.60141671077854,0.0,9,,0,308.9279922727273,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,10,,7,2,20,11,ordinary,9,full_coverage_and_all_discovered_cleared,126,3398.207915,0.022226584027521312
22,0,True,,,,,,uniform__smooth__98,uniform__smooth,12,12,12,135,0.1755770000000001,12,,,,,,,0,6.487499922513962e-05,,,,,,,121,peer_layout9_proxy,[],20754.280200196772,0,,0.0,,,,410.0713370833334,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4920.856045,0.1757295840070583
6,0,True,0,0,0,0,0,uniform__smooth__98,uniform__smooth,6,14,12,148,0.023351000000000344,12,,,6,8,,,0,7.512501906603575e-05,,19,0,,,,132,clearance7,[],10921.053513592222,0,62.755899710772184,0.0,6,,,252.68422533333333,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,16,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,122,3032.210704,0.02340270800050348
7,0,True,0,0,0,0,0,uniform__smooth__98,uniform__smooth,4,14,12,160,0.024413999999999714,12,,,8,10,,,0,7.170799653977156e-05,,21,0,,,,144,clearance9,[],13450.78893628889,0,18.01317095633957,0.0,4,,,300.513149,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,27,,6,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,130,3606.157788,0.02442391699878499
4,0,True,0,0,0,0,0,uniform__smooth__98,uniform__smooth,6,13,12,145,0.02260200000000001,12,,,6,7,,0,0,7.72500061430037e-05,1,23,0,,1,1,130,packet_center7,[],10710.171433025178,0,49.11476347601404,0.0,6,,0,248.16952408333336,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,16,,0,1,16,12,ordinary,7,full_coverage_and_all_discovered_cleared,123,2978.034289,0.02260141697479412
6,0,True,0,0,0,0,0,uniform__smooth__98,uniform__smooth,4,14,12,171,0.02566500000000005,12,,,8,10,,0,0,6.841699359938502e-05,3,27,0,,2,2,155,packet_center9,[],13158.938587459104,0,22.649109936628175,0.0,4,,0,301.0656433333333,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,27,,5,3,18,12,ordinary,9,full_coverage_and_all_discovered_cleared,140,3612.78772,0.025706584041472524
