active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
17,0,True,,,,,,uniform__iid__139,uniform__iid,10,,,10,10,134,,,,,,0.14672200000000002,,10,,,,,,,,,,,,,,,,,,,,0,,9.137502638623118e-05,,,,,,,122,peer_layout9_proxy,,[],20308.24546760957,0,,0.0,,,,,482.9649095,"[1, 3, 5, 6, 10, 11, 13, 18, 19, 20]",,,3,139,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,108,4829.649095,,,,0.14737083297222853
6,0,True,0,0,0,0,0,uniform__iid__139,uniform__iid,6,,,11,10,123,1.0,,,,,0.02063500000000007,,10,,4,5,False,,,,,,,,,,,,,,,,0,,6.658397614955902e-05,,17,0,,,,110,area_return1_7,,[],12209.981153791308,0,57.71768379836159,0.0,6,,,,314.8996231,"[1, 3, 5, 6, 10, 11, 13, 18, 19, 20]",,,3,139,,9,,7,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,104,3148.996231,,,True,0.02066029200796038
6,0,True,0,0,0,0,0,uniform__iid__139,uniform__iid,6,0,,11,10,123,1.0,,,base,0,0.020360000000000045,,10,,4,5,False,,,,,False,,,,,,,,,,,0,0,6.64590043015778e-05,,17,0,,,,110,range_area7,,[],12209.981153791308,0,57.71768379836159,0.0,6,,,,314.8996231,"[1, 3, 5, 6, 10, 11, 13, 18, 19, 20]",,,3,139,1.0,9,,7,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,104,3148.996231,,,True,0.020360249967779964
6,0,True,0,0,0,0,0,uniform__iid__139,uniform__iid,6,0,,11,10,123,1.0,,,base,0,0.02064699999999997,,10,,4,5,False,,0,0,0,False,,,,,,,,,,,0,0,6.791600026190281e-05,,17,0,,,,110,faithful_area7,,[],12209.981153791308,0,57.71768379836159,0.0,6,,,,314.8996231,"[1, 3, 5, 6, 10, 11, 13, 18, 19, 20]",,,3,139,1.0,9,,7,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,104,3148.996231,,,True,0.020671250007580966
6,0,True,0,0,0,0,0,uniform__iid__139,uniform__iid,6,0,0,11,10,123,1.0,,,base,0,0.02084800000000009,0,10,,4,5,False,,0,0,0,False,,,,,,,,,,,0,0,6.820796988904476e-05,,17,0,4,,,110,deferred_area7,10,[],12209.981153791308,0,57.71768379836159,0.0,6,,,0,314.8996231,"[1, 3, 5, 6, 10, 11, 13, 18, 19, 20]",0,,3,139,1.0,9,,7,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,104,3148.996231,,,True,0.020938500005286187
26,0,True,,,,,,uniform__iid__140,uniform__iid,16,,,16,16,101,,,,,,0.20043999999999995,,16,,,,,,,,,,,,,,,,,,,,0,,6.562500493600965e-05,,,,,,,83,peer_layout9_proxy,,[],19606.42079423968,0,,0.0,,,,,280.2052601875,"[1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,140,,,,,,,16,ordinary,7,public_upper_bound_16,67,4483.284163,,,,0.20080229197628796
5,0,True,0,0,0,0,0,uniform__iid__140,uniform__iid,10,,,17,16,163,1.0,,,,,0.03260200000000002,,16,,6,7,False,,,,,,,,,,,,,,,,0,,7.204199209809303e-05,,23,0,,,,144,area_return1_7,,[],11186.702076704902,0,62.12231875829918,0.0,10,,,,198.458776,"[1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,140,,48,,3,,,16,ordinary,7,public_upper_bound_16,135,3175.340416,,,True,0.03264691698132083
5,0,True,0,0,0,0,0,uniform__iid__140,uniform__iid,10,4,,17,16,159,1.0,,,base,0,0.03299799999999986,,16,,6,7,False,,,,,False,,,,,,,,,,,0,0,9.108398808166385e-05,,23,0,,,,140,range_area7,,[],11186.702076704902,0,62.12231875829918,0.0,10,,,,196.958776,"[1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,140,1.0,48,,3,,,16,ordinary,7,public_upper_bound_16,131,3151.340416,,,True,0.033027582976501435
5,0,True,0,0,0,0,0,uniform__iid__140,uniform__iid,10,4,,17,16,159,1.0,,,base,0,0.03339700000000012,,16,,6,7,False,,4,0,4,False,,,,,,,,,,,0,0,9.287503780797124e-05,,23,0,,,,140,faithful_area7,,[],11186.702076704902,0,62.12231875829918,0.0,10,,,,196.958776,"[1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",,,3,140,1.0,48,,3,,,16,ordinary,7,public_upper_bound_16,131,3151.340416,,,True,0.033495625015348196
5,0,True,0,0,0,0,0,uniform__iid__140,uniform__iid,10,4,4,17,16,159,1.0,,,base,0,0.034183000000000074,0,16,,6,7,False,,4,0,4,False,,,,,,,,,,,0,0,8.66670161485672e-05,,23,0,4,,,140,deferred_area7,5,[],11186.702076704902,0,62.12231875829918,0.0,10,,,0,196.958776,"[1, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0,,3,140,1.0,48,,3,,,16,ordinary,7,public_upper_bound_16,131,3151.340416,,,True,0.03426558303181082
20,0,True,,,,,,uniform__iid__141,uniform__iid,14,,,14,14,114,,,,,,0.14798899999999993,,14,,,,,,,,,,,,,,,,,,,,0,,0.00011091696796938777,,,,,,,98,peer_layout9_proxy,,[],19973.243444073887,0,,0.0,,,,,331.5463347857143,"[1, 3, 4, 5, 6, 7, 9, 11, 15, 16, 17, 18, 19, 20]",,,3,141,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,87,4641.648687,,,,0.14820283302105963
5,0,True,0,0,0,0,0,uniform__iid__141,uniform__iid,10,,,14,14,129,1.0,,,,,0.026947999999999972,,14,,4,4,False,,,,,,,,,,,,,,,,0,,5.9165991842746735e-05,,21,0,,,,113,area_return1_7,,[],12256.275302725004,0,79.87311994404682,0.0,10,,,,227.87536157142858,"[1, 3, 4, 5, 6, 7, 9, 11, 15, 16, 17, 18, 19, 20]",,,3,141,,19,,8,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,104,3190.255062,,,True,0.026966624951455742
5,0,True,0,0,0,0,0,uniform__iid__141,uniform__iid,10,5,,14,14,124,1.0,,,base,0,0.02679100000000001,,14,,4,4,False,,,,,False,,,,,,,,,,,0,0,7.95419909991324e-05,,21,0,,,,108,range_area7,,[],12256.275302725004,0,79.87311994404682,0.0,10,,,,225.73250442857145,"[1, 3, 4, 5, 6, 7, 9, 11, 15, 16, 17, 18, 19, 20]",,,3,141,1.0,19,,8,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,99,3160.255062,,,True,0.026796458987519145
5,0,True,0,0,0,0,0,uniform__iid__141,uniform__iid,10,5,,14,14,124,1.0,,,base,0,0.027024999999999855,,14,,4,4,False,,5,0,5,False,,,,,,,,,,,0,0,6.358395330607891e-05,,21,0,,,,108,faithful_area7,,[],12256.275302725004,0,79.87311994404682,0.0,10,,,,225.73250442857145,"[1, 3, 4, 5, 6, 7, 9, 11, 15, 16, 17, 18, 19, 20]",,,3,141,1.0,19,,8,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,99,3160.255062,,,True,0.02704266703221947
5,0,True,0,0,0,0,0,uniform__iid__141,uniform__iid,10,5,5,14,14,124,1.0,,,base,0,0.027169,0,14,,4,4,False,,5,0,5,False,,,,,,,,,,,0,0,6.766599835827947e-05,,21,0,4,,,108,deferred_area7,6,[],12256.275302725004,0,79.87311994404682,0.0,10,,,0,225.73250442857145,"[1, 3, 4, 5, 6, 7, 9, 11, 15, 16, 17, 18, 19, 20]",0,,3,141,1.0,19,,8,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,99,3160.255062,,,True,0.02719041594536975
24,0,True,,,,,,uniform__iid__142,uniform__iid,14,,,14,14,133,,,,,,0.19724399999999997,,14,,,,,,,,,,,,,,,,,,,,0,,6.225000834092498e-05,,,,,,,117,peer_layout9_proxy,,[],20794.83999019309,0,,0.0,,,,,351.0691425714286,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 14, 16, 18, 19, 20]",,,3,142,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,101,4914.967996,,,,0.1974497499759309
5,0,True,0,0,0,0,0,uniform__iid__142,uniform__iid,8,,,15,14,137,1.0,,,,,0.025169999999999915,,14,,6,7,False,,,,,,,,,,,,,,,,0,,7.100001676008105e-05,,21,0,,,,120,area_return1_7,,[],12063.000484193984,0,70.61018446077055,0.0,8,,,,228.40000664285714,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 14, 16, 18, 19, 20]",,,3,142,,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,112,3197.600093,,,True,0.02518441603751853
5,0,True,0,0,0,0,0,uniform__iid__142,uniform__iid,8,10,,15,14,127,1.0,,,base,0,0.025036000000000058,,14,,6,7,False,,,,,False,,,,,,,,,,,0,0,7.724994793534279e-05,,21,0,,,,110,range_area7,,[],12063.000484193984,0,70.61018446077055,0.0,8,,,,224.11429235714286,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 14, 16, 18, 19, 20]",,,3,142,1.0,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,102,3137.600093,,,True,0.02504345797933638
5,0,True,0,0,0,0,0,uniform__iid__142,uniform__iid,8,10,,15,14,127,1.0,,,base,0,0.02527400000000002,,14,,6,7,False,,10,0,10,False,,,,,,,,,,,0,0,6.824999582022429e-05,,21,0,,,,110,faithful_area7,,[],12063.000484193984,0,70.61018446077055,0.0,8,,,,224.18572092857144,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 14, 16, 18, 19, 20]",,,3,142,1.0,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,103,3138.600093,,,True,0.025295416999142617
5,0,True,0,0,0,0,0,uniform__iid__142,uniform__iid,8,10,10,15,14,127,1.0,,,base,0,0.02567699999999995,0,14,,6,7,False,,10,0,10,False,,,,,,,,,,,0,0,7.195805665105581e-05,,21,0,4,,,110,deferred_area7,7,[],12063.000484193984,0,70.61018446077055,0.0,8,,,0,224.18572092857144,"[1, 2, 3, 5, 6, 9, 10, 12, 13, 14, 16, 18, 19, 20]",0,,3,142,1.0,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,103,3138.600093,,,True,0.02569608303019777
22,0,True,,,,,,uniform__iid__143,uniform__iid,11,,,11,11,149,,,,,,0.17452500000000004,,11,,,,,,,,,,,,,,,,,,,,0,,6.17500045336783e-05,,,,,,,136,peer_layout9_proxy,,[],18849.96304769233,0,,0.0,,,,,420.54478245454544,"[1, 2, 3, 5, 7, 8, 10, 12, 16, 18, 20]",,,3,143,,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,121,4625.992607,,,,0.17470554099418223
4,0,True,0,0,0,0,0,uniform__iid__143,uniform__iid,6,,,12,11,150,1.0,,,,,0.021062999999999832,,11,,5,6,False,,,,,,,,,,,,,,,,0,,6.479205330833793e-05,,18,0,,,,136,area_return1_7,,[],9484.441426174935,0,47.29601326644807,0.0,6,,,,251.26257136363637,"[1, 2, 3, 5, 7, 8, 10, 12, 16, 18, 20]",,,3,143,,13,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,129,2763.888285,,,True,0.02106420899508521
4,0,True,0,0,0,0,0,uniform__iid__143,uniform__iid,6,3,,12,11,147,1.0,,,base,0,0.021163000000000043,,11,,5,6,False,,,,,False,,,,,,,,,,,0,0,7.387500954791903e-05,,18,0,,,,133,range_area7,,[],9484.441426174935,0,47.29601326644807,0.0,6,,,,249.6262077272727,"[1, 2, 3, 5, 7, 8, 10, 12, 16, 18, 20]",,,3,143,1.0,13,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,126,2745.888285,,,True,0.02118795900605619
4,0,True,0,0,0,0,0,uniform__iid__143,uniform__iid,6,2,,12,11,148,1.0,,,base,0,0.021463999999999928,,11,,5,6,False,,2,1,2,False,,,,,,,,,,,0,0,7.933296728879213e-05,,18,0,,,,134,faithful_area7,,[],9484.441426174935,0,47.29601326644807,0.0,6,,,,250.26257136363637,"[1, 2, 3, 5, 7, 8, 10, 12, 16, 18, 20]",,,3,143,1.0,13,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,128,2752.888285,,,True,0.021470417035743594
4,0,True,0,0,0,0,0,uniform__iid__143,uniform__iid,6,3,3,12,11,147,1.0,,,base,0,0.021551000000000098,1,11,,5,6,False,,3,0,2,False,,,,,,,,,,,0,0,7.491698488593102e-05,,18,0,4,,,133,deferred_area7,11,[],9484.441426174935,0,47.29601326644807,0.0,6,,,0,249.7171168181818,"[1, 2, 3, 5, 7, 8, 10, 12, 16, 18, 20]",0,,3,143,1.0,13,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,127,2746.888285,,,True,0.02155170904006809
22,0,True,,,,,,uniform__iid__144,uniform__iid,13,,,13,13,148,,,,,,0.17383099999999985,,13,,,,,,,,,,,,,,,,,,,,0,,6.5833970438689e-05,,,,,,,133,peer_layout9_proxy,,[],19441.31831674979,0,,0.0,,,,,364.404897,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 15, 18, 20]",,,3,144,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,119,4737.263661,,,,0.17395720799686387
10,0,True,0,0,0,0,0,uniform__iid__144,uniform__iid,10,,,15,13,142,1.0,,,,,0.027873000000000037,,13,,3,5,False,,,,,,,,,,,,,,,,0,,5.920900730416179e-05,,20,0,,,,125,area_return1_7,,[],10576.986919700761,0,112.15442167151274,0.0,10,,,,225.2613370769231,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 15, 18, 20]",,,3,144,,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,117,2928.397382,,,True,0.027928166964557022
10,0,True,0,0,0,0,0,uniform__iid__144,uniform__iid,10,3,,15,13,139,1.0,,,base,0,0.027854000000000045,,13,,3,5,False,,,,,False,,,,,,,,,,,0,0,0.00015766604337841272,,20,0,,,,122,range_area7,,[],10576.986919700761,0,112.15442167151274,0.0,10,,,,223.8767216923077,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 15, 18, 20]",,,3,144,1.0,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,114,2910.397382,,,True,0.027861333976034075
10,0,True,0,0,0,0,0,uniform__iid__144,uniform__iid,10,3,,15,13,139,1.0,,,base,0,0.02792299999999992,,13,,3,5,False,,3,0,3,False,,,,,,,,,,,0,0,7.491698488593102e-05,,20,0,,,,122,faithful_area7,,[],10576.986919700761,0,112.15442167151274,0.0,10,,,,223.8767216923077,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 15, 18, 20]",,,3,144,1.0,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,114,2910.397382,,,True,0.027964040986262262
10,0,True,0,0,0,0,0,uniform__iid__144,uniform__iid,10,3,3,15,13,139,1.0,,,base,0,0.02833600000000036,0,13,,3,5,False,,3,0,3,False,,,,,,,,,,,0,0,7.220800034701824e-05,,20,0,4,,,122,deferred_area7,7,[],10576.986919700761,0,112.15442167151274,0.0,10,,,0,223.8767216923077,"[2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 15, 18, 20]",0,,3,144,1.0,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,114,2910.397382,,,True,0.02834899997105822
24,0,True,,,,,,uniform__iid__145,uniform__iid,16,,,16,16,114,,,,,,0.19782900000000003,,16,,,,,,,,,,,,,,,,,,,,0,,6.241601658985019e-05,,,,,,,96,peer_layout9_proxy,,[],19184.687047698277,0,,0.0,,,,,280.1835880625,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",,,3,145,,,,,,,16,ordinary,7,public_upper_bound_16,86,4482.937409,,,,0.19796495797345415
10,0,True,0,0,0,0,0,uniform__iid__145,uniform__iid,13,,,21,16,149,1.0,,,,,0.032969000000000026,,16,,3,8,False,,,,,,,,,,,,,,,,0,,5.804101238027215e-05,,22,1,,,,126,area_return1_7,,[],14482.412083692585,0,82.46120797708795,0.0,13,,,,233.592651125,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",,,3,145,,27,,1,,,16,ordinary,6,public_upper_bound_16,116,3737.482418,,,True,0.032997291011270136
10,0,True,0,0,0,0,0,uniform__iid__145,uniform__iid,13,2,,21,16,147,1.0,,,base,0,0.032842999999999734,,16,,3,8,False,,,,,False,,,,,,,,,,,0,0,0.00016729201888665557,,22,1,,,,124,range_area7,,[],14482.412083692585,0,82.46120797708795,0.0,13,,,,232.842651125,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",,,3,145,1.0,27,,1,,,16,ordinary,6,public_upper_bound_16,114,3725.482418,,,True,0.03285358299035579
10,0,True,0,0,0,0,0,uniform__iid__145,uniform__iid,13,2,,21,16,147,1.0,,,base,0,0.033489999999999576,,16,,3,8,False,,2,0,2,False,,,,,,,,,,,0,0,7.666699821129441e-05,,22,1,,,,124,faithful_area7,,[],14482.412083692585,0,82.46120797708795,0.0,13,,,,232.842651125,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",,,3,145,1.0,27,,1,,,16,ordinary,6,public_upper_bound_16,114,3725.482418,,,True,0.03350266703637317
10,0,True,0,0,0,0,0,uniform__iid__145,uniform__iid,13,2,2,21,16,147,1.0,,,base,0,0.0332530000000002,0,16,,3,8,False,,2,0,2,False,,,,,,,,,,,0,0,8.116604294627905e-05,,22,1,4,,,124,deferred_area7,6,[],14482.412083692585,0,82.46120797708795,0.0,13,,,0,232.842651125,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,,3,145,1.0,27,,1,,,16,ordinary,6,public_upper_bound_16,114,3725.482418,,,True,0.033270415966399014
20,0,True,,,,,,uniform__iid__146,uniform__iid,11,,,11,11,143,,,,,,0.15651899999999985,,11,,,,,,,,,,,,,,,,,,,,0,,7.354095578193665e-05,,,,,,,130,peer_layout9_proxy,,[],21278.16279710277,0,,0.0,,,,,461.6029599090909,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 15, 17]",,,3,146,,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,117,5077.632559,,,,0.15662299998803064
6,0,True,0,0,0,0,0,uniform__iid__146,uniform__iid,5,,,12,11,138,1.0,,,,,0.021548000000000123,,11,,6,7,False,,,,,,,,,,,,,,,,0,,6.52919989079237e-05,,18,0,,,,124,area_return1_7,,[],11771.825270948353,0,22.183020091789107,0.0,5,,,,286.215005,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 15, 17]",,,3,146,,10,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3148.365055,,,True,0.021657000004779547
6,0,True,0,0,0,0,0,uniform__iid__146,uniform__iid,5,6,,12,11,132,1.0,,,base,0,0.021271999999999736,,11,,6,7,False,,,,,False,,,,,,,,,,,0,0,6.933300755918026e-05,,18,0,,,,118,range_area7,,[],11771.825270948353,0,22.183020091789107,0.0,5,,,,282.94227772727277,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 15, 17]",,,3,146,1.0,10,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,110,3112.365055,,,True,0.02127091703005135
6,0,True,0,0,0,0,0,uniform__iid__146,uniform__iid,5,6,,12,11,132,1.0,,,base,0,0.021438999999999986,,11,,6,7,False,,6,0,6,False,,,,,,,,,,,0,0,7.274997187778354e-05,,18,0,,,,118,faithful_area7,,[],11771.825270948353,0,22.183020091789107,0.0,5,,,,282.94227772727277,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 15, 17]",,,3,146,1.0,10,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,110,3112.365055,,,True,0.021452291985042393
