active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,forced_continuations,inconsistent_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
8,2,True,0,8,2,2,0,uniform__iid__67,uniform__iid,8,10,10,353,fixed,20.0,0.029510999999999954,10,0,0,,,0,,32,0,,,341,wide20_22,[],21555.815452060702,0,0.0,False,,638.2163087,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,9,0,2,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,316,6382.163087,0.029548584017902613
6,1,True,0,6,2,2,0,uniform__iid__67,uniform__iid,8,10,10,352,fixed,20.0,0.030417000000000027,10,0,0,,0,0,1,37,0,3,2,340,packet_wide20_22,[],21300.811419869766,0,0.0,False,0,632.616228,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,10,0,2,1,15,10,ordinary,22,full_coverage_and_all_discovered_cleared,316,6326.16228,0.030432250001467764
4,0,True,0,4,4,4,0,uniform__iid__67,uniform__iid,6,10,10,357,fixed,30.0,0.02815599999999996,10,0,0,,,0,,32,0,,,345,wide30_22,[],21056.098218230618,0,0.0,False,,630.9219642,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,8,0,1,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,323,6309.219642,0.02824100002180785
4,0,True,0,4,4,4,0,uniform__iid__67,uniform__iid,6,10,10,357,fixed,30.0,0.029538999999999982,10,0,0,,0,0,0,36,0,1,1,345,packet_wide30_22,[],21056.098218230618,0,0.0,False,0,630.9219642,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,8,0,1,0,14,10,ordinary,22,full_coverage_and_all_discovered_cleared,323,6309.219642,0.02955654199467972
5,0,True,0,5,2,2,0,uniform__iid__67,uniform__iid,8,10,10,351,decay,20.0,0.031220999999999943,10,0,0,,0,0,1,37,0,2,2,339,packet_decay20_22,[],21001.515256950424,0,0.0,False,0,626.1303048,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,10,0,2,1,15,10,ordinary,22,full_coverage_and_all_discovered_cleared,316,6261.303048,0.03122141701169312
4,0,True,0,4,4,4,0,uniform__iid__67,uniform__iid,6,10,10,357,first,30.0,0.029575000000000018,10,0,0,,0,0,0,36,0,1,1,345,packet_first30_22,[],21056.098218230618,0,0.0,False,0,630.9219642,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,8,0,1,0,14,10,ordinary,22,full_coverage_and_all_discovered_cleared,323,6309.219642,0.029583875031676143
8,3,True,0,8,2,2,1,uniform__iid__67,uniform__iid,8,10,10,363,fixed,15.0,0.03090500000000007,10,0,0,,0,0,1,38,0,3,2,351,packet_f015_15_22,[],21393.554496823926,0,0.0,False,0,641.0710895999999,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,11,1,2,1,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,327,6410.710896,0.03091112500987947
9,4,True,0,9,3,3,1,uniform__iid__67,uniform__iid,7,10,10,366,fixed,10.0,0.029835999999999974,10,0,0,,,0,,32,0,,,354,wide_f05_10_22,[],22317.56102393185,0,0.0,False,,661.2512204,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,12,0,1,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,329,6612.512204,0.029912708967458457
25,4,True,0,25,2,3,2,uniform__iid__68,uniform__iid,13,16,15,329,,,0.04648399999999997,15,0,0,,,0,,37,0,,,311,quarter22,[],24218.323637117326,0,0.0,False,,450.77764833333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,27,16,40,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,285,6761.664725,0.04649666603654623
26,7,True,0,26,5,5,3,uniform__iid__68,uniform__iid,10,15,15,303,,,0.05318800000000001,15,0,0,,0,0,4,59,0,7,6,286,packet_center22,[],25171.421817259907,0,0.0,False,0,452.95229066666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,26,33,9,4,37,15,ordinary,22,full_coverage_and_all_discovered_cleared,255,6794.28436,0.05320987501181662
14,1,True,0,14,4,4,0,uniform__iid__68,uniform__iid,11,15,15,307,fixed,3.0,0.03991,15,0,0,,,0,,37,0,,,290,wide3_22,[],23943.66675775177,0,0.0,False,,438.84888973333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,18,8,41,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,269,6582.733346,0.0399487090180628
16,5,True,0,16,6,6,2,uniform__iid__68,uniform__iid,9,15,15,330,fixed,3.0,0.04649300000000001,15,0,0,,0,0,2,50,0,6,5,313,packet_wide3_22,[],23525.728730432857,0,0.0,False,0,442.2097162666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,22,25,12,2,28,15,ordinary,22,full_coverage_and_all_discovered_cleared,288,6633.145744,0.04650954098906368
13,0,True,0,13,1,1,0,uniform__iid__68,uniform__iid,14,15,15,311,fixed,5.0,0.04166700000000012,15,0,0,,,0,,37,0,,,294,wide5_22,[],23986.948349235146,0,0.0,False,,440.89264453333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,22,8,40,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,271,6613.389668,0.04168725002091378
16,4,True,0,16,4,4,2,uniform__iid__68,uniform__iid,11,15,15,329,fixed,5.0,0.04616900000000013,15,0,0,,0,0,1,51,0,4,3,312,packet_wide5_22,[],23320.90674659218,0,0.0,False,0,439.01208993333336,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,21,17,11,1,29,15,ordinary,22,full_coverage_and_all_discovered_cleared,286,6585.181349,0.04629674996249378
11,1,True,0,11,5,5,0,uniform__iid__68,uniform__iid,10,15,15,306,fixed,10.0,0.03791600000000006,15,0,0,,,0,,37,0,,,289,wide10_22,[],24262.85393625554,0,0.0,False,,442.5713856666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,20,7,41,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,266,6638.570785,0.03792537504341453
14,3,True,0,14,1,1,1,uniform__iid__68,uniform__iid,14,15,15,317,fixed,10.0,0.043736,15,0,0,,0,0,1,49,0,3,2,300,packet_wide10_22,[],22878.970127419132,0,0.0,False,0,428.5862682,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,20,12,30,1,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,278,6428.794023,0.04374866600846872
9,0,True,0,9,3,3,0,uniform__iid__68,uniform__iid,12,15,15,308,fixed,15.0,0.03878399999999993,15,0,0,,,0,,37,0,,,291,wide15_22,[],24587.16653529888,0,0.0,False,,447.82888699999995,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,24,4,41,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,270,6717.433305,0.03879600000800565
14,5,True,0,14,4,4,2,uniform__iid__68,uniform__iid,11,15,15,332,fixed,15.0,0.044419999999999904,15,0,0,,0,0,1,48,0,4,3,315,packet_wide15_22,[],24025.13660355748,0,0.0,False,0,449.8684879333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,26,13,11,1,26,15,ordinary,22,full_coverage_and_all_discovered_cleared,293,6748.027319,0.04448604199569672
10,1,True,0,10,2,2,0,uniform__iid__68,uniform__iid,13,15,15,312,fixed,20.0,0.041074000000000055,15,0,0,,,0,,37,0,,,295,wide20_22,[],25233.150645506856,0,0.0,False,,457.9753416666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,26,3,40,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,273,6869.630125,0.04109366697957739
14,5,True,0,14,3,3,1,uniform__iid__68,uniform__iid,12,15,15,331,fixed,20.0,0.04431699999999994,15,0,0,,0,0,1,47,0,4,2,314,packet_wide20_22,[],24435.36836009531,0,0.0,False,0,454.9382446,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,26,12,12,1,25,15,ordinary,22,full_coverage_and_all_discovered_cleared,292,6824.073669,0.044326541014015675
17,5,True,0,17,1,1,1,uniform__iid__68,uniform__iid,14,15,15,312,fixed,30.0,0.0384859999999998,15,0,0,,,0,,37,0,,,295,wide30_22,[],28901.942690562122,0,0.0,False,,506.55923573333337,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,26,3,28,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,268,7598.388536,0.03851829201448709
14,4,True,0,14,2,2,0,uniform__iid__68,uniform__iid,13,15,15,265,fixed,30.0,0.04048799999999986,15,0,0,,0,0,6,47,0,3,2,248,packet_wide30_22,[],27475.839335738652,0,0.0,False,0,468.811191,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,26,7,23,6,25,15,ordinary,22,full_coverage_and_all_discovered_cleared,222,7032.167865,0.04049554100492969
13,4,True,0,13,3,3,1,uniform__iid__68,uniform__iid,12,15,15,328,decay,20.0,0.043906,15,0,0,,0,0,1,47,0,3,2,311,packet_decay20_22,[],23907.77394776106,0,0.0,False,0,446.70365253333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,24,12,12,1,25,15,ordinary,22,full_coverage_and_all_discovered_cleared,289,6700.554788,0.04392712499247864
15,3,True,0,15,3,3,0,uniform__iid__68,uniform__iid,12,15,15,319,first,30.0,0.044494000000000034,15,0,0,,0,0,3,49,0,3,3,302,packet_first30_22,[],26521.422018076864,0,0.0,False,0,477.81896006666665,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,21,6,26,3,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,278,7167.284401,0.04450766695663333
17,3,True,0,17,4,5,0,uniform__iid__68,uniform__iid,11,16,15,290,fixed,15.0,0.04519899999999999,15,0,0,,0,0,4,51,0,3,2,272,packet_f015_15_22,[],26833.63773603853,0,0.0,False,0,470.2485028666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,23,19,10,4,29,15,ordinary,22,full_coverage_and_all_discovered_cleared,249,7053.727543,0.04523616697406396
18,9,True,0,18,4,5,4,uniform__iid__68,uniform__iid,11,16,15,292,fixed,10.0,0.038197999999999954,15,0,0,,,0,,37,0,,,274,wide_f05_10_22,[],25155.579653460678,0,0.0,False,,448.4743950666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",4,68,22,6,10,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,248,6727.115926,0.03820499998982996
24,5,True,0,24,6,6,2,uniform__iid__69,uniform__iid,9,15,15,267,,,0.049335999999999824,15,0,0,,,0,,37,0,,,250,quarter22,[],23353.463302244756,0,0.0,False,,414.3128436,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,28,4,16,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,219,6214.692654,0.04936533299041912
14,3,True,0,14,7,7,1,uniform__iid__69,uniform__iid,8,15,15,257,,,0.05112199999999989,15,0,0,,0,0,2,48,0,5,4,240,packet_center22,[],21859.567102182937,0,0.0,False,0,390.79422766666664,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,26,1,16,2,26,15,ordinary,22,full_coverage_and_all_discovered_cleared,215,5861.913415,0.05118812498403713
15,2,True,0,15,5,5,1,uniform__iid__69,uniform__iid,10,15,15,270,fixed,3.0,0.044724999999999904,15,0,0,,,0,,37,0,,,253,wide3_22,[],23363.717531710896,0,0.0,False,,415.9829001333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,26,1,2,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,227,6239.743502,0.04473074997076765
12,3,True,0,12,4,4,1,uniform__iid__69,uniform__iid,11,15,15,268,fixed,3.0,0.05015499999999995,15,0,0,,0,0,2,47,0,4,3,251,packet_wide3_22,[],21917.66023324947,0,0.0,False,0,396.1688028,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,25,2,2,2,25,15,ordinary,22,full_coverage_and_all_discovered_cleared,229,5942.532042,0.05069574998924509
15,3,True,0,15,4,5,1,uniform__iid__69,uniform__iid,11,16,15,268,fixed,5.0,0.045725000000000016,15,0,0,,,0,,37,0,,,250,wide5_22,[],23244.638493993767,0,0.0,False,,413.5285130666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,27,2,6,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,226,6202.927696,0.045763749978505075
12,3,True,0,12,5,5,1,uniform__iid__69,uniform__iid,10,15,15,266,fixed,5.0,0.04992900000000011,15,0,0,,0,0,2,47,0,4,3,249,packet_wide5_22,[],21757.833380042935,0,0.0,False,0,393.17111159999996,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,27,1,6,2,25,15,ordinary,22,full_coverage_and_all_discovered_cleared,226,5897.566674,0.04997379198903218
13,3,True,0,13,4,4,0,uniform__iid__69,uniform__iid,11,15,15,268,fixed,10.0,0.04528999999999983,15,0,0,,,0,,37,0,,,251,wide10_22,[],23660.947897600858,0,0.0,False,,419.4126384,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,28,2,4,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,229,6291.189576,0.04530691698892042
11,2,True,0,11,4,5,0,uniform__iid__69,uniform__iid,11,16,15,268,fixed,10.0,0.048891999999999936,15,0,0,,0,0,2,46,0,3,2,250,packet_wide10_22,[],22060.320571983186,0,0.0,False,0,397.93760733333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,27,1,4,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,229,5969.06411,0.04897433303995058
11,2,True,0,11,5,5,0,uniform__iid__69,uniform__iid,10,15,15,251,fixed,15.0,0.04087499999999977,15,0,0,,,0,,37,0,,,234,wide15_22,[],24173.552114709837,0,0.0,False,,419.2473614,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,24,0,15,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,209,6288.710421,0.040890167001634836
11,2,True,0,11,4,4,0,uniform__iid__69,uniform__iid,11,15,15,255,fixed,15.0,0.04591400000000023,15,0,0,,0,0,2,46,0,3,2,238,packet_wide15_22,[],22740.330972075306,0,0.0,False,0,401.8710794,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,26,0,15,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,215,6028.066191,0.04594083299161866
11,2,True,0,11,4,4,0,uniform__iid__69,uniform__iid,11,15,15,256,fixed,20.0,0.042540000000000244,15,0,0,,,0,,37,0,,,239,wide20_22,[],24970.75029744665,0,0.0,False,,432.01000373333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,29,0,15,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,216,6480.150056,0.04262779199052602
5,1,True,0,5,4,5,0,uniform__iid__69,uniform__iid,11,16,15,322,fixed,20.0,0.04350600000000027,15,0,0,,0,0,2,41,0,2,1,304,packet_wide20_22,[],25839.071070864862,0,0.0,False,0,469.58761386666663,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,21,8,21,2,19,15,ordinary,22,full_coverage_and_all_discovered_cleared,278,7043.814208,0.04354145802790299
7,1,True,0,7,5,5,0,uniform__iid__69,uniform__iid,10,15,15,287,fixed,30.0,0.038182999999999634,15,0,0,,,0,,37,0,,,270,wide30_22,[],24953.145035643913,0,0.0,False,,444.37526686666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,23,0,9,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,250,6665.629003,0.03819699998712167
8,2,True,0,8,5,5,0,uniform__iid__69,uniform__iid,10,15,15,292,fixed,30.0,0.04132200000000008,15,0,0,,0,0,2,43,0,3,2,275,packet_wide30_22,[],23799.773633497516,0,0.0,False,0,431.06364813333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,25,0,10,3,21,15,ordinary,22,full_coverage_and_all_discovered_cleared,256,6465.954722,0.0413475829991512
5,1,True,0,5,4,5,0,uniform__iid__69,uniform__iid,11,16,15,322,decay,20.0,0.044089000000000045,15,0,0,,0,0,2,41,0,2,1,304,packet_decay20_22,[],25839.071070864862,0,0.0,False,0,469.58761386666663,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,21,8,21,2,19,15,ordinary,22,full_coverage_and_all_discovered_cleared,278,7043.814208,0.04417750000720844
7,1,True,0,7,5,5,0,uniform__iid__69,uniform__iid,10,15,15,289,first,30.0,0.039390000000000036,15,0,0,,0,0,2,43,0,2,2,272,packet_first30_22,[],22468.273703475414,0,0.0,False,0,412.1103157333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,23,1,9,2,21,15,ordinary,22,full_coverage_and_all_discovered_cleared,253,6181.654736,0.03942766698310152
12,3,True,0,12,4,4,0,uniform__iid__69,uniform__iid,11,15,15,274,fixed,15.0,0.04994100000000001,15,0,0,,0,0,2,46,0,3,2,257,packet_f015_15_22,[],22876.434706736512,0,0.0,False,0,411.2857956666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,31,1,2,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,234,6169.286935,0.04996104200836271
10,2,True,0,10,7,8,1,uniform__iid__69,uniform__iid,8,16,15,277,fixed,10.0,0.03706699999999996,15,0,0,,,0,,37,0,,,259,wide_f05_10_22,[],25055.662850954795,0,0.0,False,,441.40883766666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",4,69,21,1,21,,,15,ordinary,22,full_coverage_and_all_discovered_cleared,237,6621.132565,0.03710924996994436
17,6,True,0,17,4,4,3,uniform__iid__70,uniform__iid,6,10,10,328,,,0.031030999999999587,10,0,0,,,0,,32,0,,,316,quarter22,[],22107.417952077747,0,0.0,False,,633.4483587,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,6,0,17,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6334.483587,0.03103204199578613
21,5,True,0,21,4,4,2,uniform__iid__70,uniform__iid,6,10,10,340,,,0.03539400000000015,10,0,0,,0,0,3,49,0,10,9,328,packet_center22,[],21078.28565931492,0,0.0,False,0,620.2657132,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,5,0,9,3,27,10,ordinary,22,full_coverage_and_all_discovered_cleared,297,6202.657132,0.035404083027970046
10,3,True,0,10,4,4,1,uniform__iid__70,uniform__iid,6,10,10,322,fixed,3.0,0.029964999999999797,10,0,0,,,0,,32,0,,,310,wide3_22,[],21632.7461219508,0,0.0,False,,620.9549223,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,6,0,15,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6209.549223,0.02997687499737367
11,1,True,0,11,5,5,0,uniform__iid__70,uniform__iid,5,10,10,331,fixed,3.0,0.0319499999999997,10,0,0,,0,0,3,42,0,4,4,319,packet_wide3_22,[],20723.34170527407,0,0.0,False,0,608.666834,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,6,2,9,3,20,10,ordinary,22,full_coverage_and_all_discovered_cleared,297,6086.66834,0.03195408300962299
7,1,True,0,7,3,3,0,uniform__iid__70,uniform__iid,7,10,10,317,fixed,5.0,0.02798799999999968,10,0,0,,,0,,32,0,,,305,wide5_22,[],21494.196070930975,0,0.0,False,,615.5839213,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,5,0,17,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,282,6155.839213,0.028017250006087124
8,1,True,0,8,3,3,0,uniform__iid__70,uniform__iid,7,10,10,325,fixed,5.0,0.03189999999999982,10,0,0,,0,0,2,39,0,3,2,313,packet_wide5_22,[],21788.822584187434,0,0.0,False,0,626.2764516999999,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,5,0,17,2,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,290,6262.764517,0.0319049580139108
6,1,True,0,6,2,2,0,uniform__iid__70,uniform__iid,8,10,10,318,fixed,10.0,0.028634999999999966,10,0,0,,,0,,32,0,,,306,wide10_22,[],21868.55806554273,0,0.0,False,,623.5711613000001,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,6,0,15,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,282,6235.711613,0.028647792001720518
10,3,True,0,10,4,4,0,uniform__iid__70,uniform__iid,6,10,10,331,fixed,10.0,0.030599000000000043,10,0,0,,0,0,3,39,0,3,2,319,packet_wide10_22,[],21070.909530873265,0,0.0,False,0,615.6181905000001,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,7,1,9,3,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,297,6156.181905,0.030634958005975932
5,0,True,0,5,2,2,0,uniform__iid__70,uniform__iid,8,10,10,317,fixed,15.0,0.02870700000000026,10,0,0,,,0,,32,0,,,305,wide15_22,[],21774.222210032967,0,0.0,False,,621.284444,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",4,70,7,0,17,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6212.84444,0.028731166967190802
