active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
5,0,True,0,5,1,1,0,uniform__iid__67,uniform__iid,9,,,10,10,318,bounded_transverse_width,,,,0.030299000000000076,,10,,0,0,,,,,,0,0,,2,36,0,,2,2,306,width_grid21_7,,,[],20769.220664955137,0,0.0,False,0,,601.9844129,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,,12,0,0,2,15,10,ordinary,21,full_coverage_and_all_discovered_cleared,286,6019.844129,40.0,constant,0.030313291994389147
5,0,True,0,5,1,1,0,uniform__iid__67,uniform__iid,9,27,,10,10,291,bounded_transverse_width,,base,0,0.02957300000000007,,10,,0,0,,,,,False,0,0,27,2,36,0,,2,2,279,range_grid21_7,,,[],20769.220664955137,0,0.0,False,0,,585.7844129,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,12,0,0,2,15,10,ordinary,21,full_coverage_and_all_discovered_cleared,259,5857.844129,40.0,constant,0.029582041024696082
5,0,True,0,5,1,1,0,uniform__iid__67,uniform__iid,9,27,27,10,10,291,bounded_transverse_width,,base,0,0.031506000000000034,3,10,,0,0,,27,0,24,False,0,0,27,2,36,0,8,2,2,279,predict_grid21_7,10,,[],20769.220664955137,0,0.0,False,0,353,586.1844129,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,30.0,4,,,67,1.0,12,0,0,2,15,10,ordinary,21,full_coverage_and_all_discovered_cleared,263,5861.844129,40.0,constant,0.0315365000278689
4,1,True,0,4,2,2,0,uniform__iid__67,uniform__iid,8,0,,10,10,308,bounded_transverse_width,,locked,34,0.02761199999999997,,10,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,2,0,0,,3,2,296,locked_full_grid21_7,,,[],20602.76082632128,0,0.0,False,0,,592.5552164,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,13,2,19,2,13,10,ordinary,21,full_coverage_and_all_discovered_cleared,275,5925.552164,40.0,constant,0.02762541698757559
4,1,True,0,4,2,2,0,uniform__iid__67,uniform__iid,8,17,17,10,10,291,bounded_transverse_width,,locked,34,0.02994299999999983,4,10,cached_distance_prefix_sum,0,0,,17,0,13,True,0,0,17,2,0,0,8,3,2,279,count_locked_grid21_7,10,10,[],20602.76082632128,0,0.0,False,0,252,582.8552164,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,30.0,4,0,0,67,1.0,13,2,19,2,13,10,ordinary,21,full_coverage_and_all_discovered_cleared,263,5828.552164,40.0,constant,0.030001082981470972
11,3,True,0,11,1,2,0,uniform__iid__67,uniform__iid,9,,,11,10,345,bounded_transverse_width,,,,0.028237999999999985,,10,,0,0,,,,,,0,0,,0,39,0,,4,3,332,width_grid21_29,,,[],22024.77978216174,0,0.0,False,0,,642.5955954,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,,8,0,0,0,18,10,ordinary,21,full_coverage_and_all_discovered_cleared,308,6425.955954,40.0,constant,0.02825629198923707
11,3,True,0,11,1,2,0,uniform__iid__67,uniform__iid,9,27,,11,10,318,bounded_transverse_width,,base,0,0.02802400000000005,,10,,0,0,,,,,False,0,0,27,0,39,0,,4,3,305,range_grid21_29,,,[],22024.77978216174,0,0.0,False,0,,626.3955954,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,8,0,0,0,18,10,ordinary,21,full_coverage_and_all_discovered_cleared,281,6263.955954,40.0,constant,0.02803004195448011
11,3,True,0,11,1,2,0,uniform__iid__67,uniform__iid,9,27,27,11,10,318,bounded_transverse_width,,base,0,0.030478000000000005,0,10,,0,0,,27,0,27,False,0,0,27,0,39,0,8,4,3,305,predict_grid21_29,10,,[],22024.77978216174,0,0.0,False,0,333,626.3955954,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,30.0,4,,,67,1.0,8,0,0,0,18,10,ordinary,21,full_coverage_and_all_discovered_cleared,281,6263.955954,40.0,constant,0.030531124968547374
4,0,True,0,4,2,3,0,uniform__iid__67,uniform__iid,8,0,,11,10,329,bounded_transverse_width,,locked,35,0.032079999999999886,,10,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,1,0,0,,2,2,316,locked_full_grid21_29,,,[],20821.191360615136,0,0.0,False,0,,609.3238271,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,12,0,6,1,14,10,ordinary,21,full_coverage_and_all_discovered_cleared,296,6093.238271,40.0,constant,0.032100125041324645
4,0,True,0,4,2,3,0,uniform__iid__67,uniform__iid,8,38,39,11,10,290,bounded_transverse_width,,locked,35,0.03388900000000006,2,10,cached_distance_prefix_sum,0,0,,39,0,37,True,0,0,39,1,0,0,8,2,2,277,count_locked_grid21_29,10,10,[],20821.191360615136,0,0.0,False,0,327,586.1238271,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",1,30.0,4,0,0,67,1.0,12,0,6,1,14,10,ordinary,21,full_coverage_and_all_discovered_cleared,259,5861.238271,40.0,constant,0.03393429104471579
15,3,True,0,15,3,3,1,uniform__iid__68,uniform__iid,12,,,15,15,327,bounded_transverse_width,,,,0.046559999999999935,,15,,0,0,,,,,,0,0,,1,50,0,,4,3,310,width_convex22,,,[],23284.201602154062,0,0.0,False,0,,437.7893545333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,,20,17,11,1,28,15,ordinary,22,full_coverage_and_all_discovered_cleared,285,6566.840318,40.0,constant,0.04656170803355053
15,3,True,0,15,3,3,1,uniform__iid__68,uniform__iid,12,38,,15,15,289,bounded_transverse_width,,base,0,0.04617399999999994,,15,,0,0,,,,,False,0,0,38,1,50,0,,4,3,272,range_convex22,,,[],23284.201602154062,0,0.0,False,0,,422.5893545333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,20,17,11,1,28,15,ordinary,22,full_coverage_and_all_discovered_cleared,247,6338.840318,40.0,constant,0.046254874963779
15,3,True,0,15,3,3,1,uniform__iid__68,uniform__iid,12,38,41,15,15,286,bounded_transverse_width,,base,0,0.050096999999999836,1,15,,0,0,,41,0,40,False,0,0,41,1,50,0,8,4,3,269,predict_convex22,5,,[],23284.201602154062,0,0.0,False,0,1121,421.45602119999995,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,30.0,4,,,68,1.0,20,17,11,1,28,15,ordinary,22,full_coverage_and_all_discovered_cleared,245,6321.840318,40.0,constant,0.050234541995450854
8,2,True,0,8,5,5,1,uniform__iid__68,uniform__iid,10,0,,15,15,264,bounded_transverse_width,,locked,44,0.03908200000000006,,15,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,4,0,0,,3,2,247,locked_full_convex22,,,[],22047.43075760243,0,0.0,False,0,,396.1657432,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,28,4,3,4,22,15,ordinary,22,full_coverage_and_all_discovered_cleared,223,5942.486148,40.0,constant,0.03909866703907028
8,2,True,0,8,5,5,1,uniform__iid__68,uniform__iid,10,24,25,15,15,239,bounded_transverse_width,,locked,44,0.040847999999999995,2,15,cached_distance_prefix_sum,0,0,,25,0,23,True,0,0,25,4,0,0,8,3,2,222,count_locked_convex22,5,5,[],22047.43075760243,0,0.0,False,0,389,386.29907653333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",1,30.0,4,0,0,68,1.0,28,4,3,4,22,15,ordinary,22,full_coverage_and_all_discovered_cleared,200,5794.486148,40.0,constant,0.040893041994422674
7,1,True,0,7,3,4,0,uniform__iid__68,uniform__iid,12,,,16,15,308,bounded_transverse_width,,,,0.041346000000000105,,15,,0,0,,,,,,0,0,,2,42,0,,2,2,290,width_closed21_3,,,[],24674.576580615914,0,0.0,False,0,,448.5943544,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,,22,9,12,2,21,15,ordinary,21,full_coverage_and_all_discovered_cleared,266,6728.915316,40.0,constant,0.041376792010851204
7,1,True,0,7,3,4,0,uniform__iid__68,uniform__iid,12,34,,16,15,274,bounded_transverse_width,,base,0,0.040510999999999964,,15,,0,0,,,,,False,0,0,34,2,42,0,,2,2,256,range_closed21_3,,,[],24674.576580615914,0,0.0,False,0,,434.99435439999996,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,22,9,12,2,21,15,ordinary,21,full_coverage_and_all_discovered_cleared,232,6524.915316,40.0,constant,0.040572208003140986
7,1,True,0,7,3,4,0,uniform__iid__68,uniform__iid,12,34,35,16,15,273,bounded_transverse_width,,base,0,0.04299900000000001,2,15,,0,0,,35,0,33,False,0,0,35,2,42,0,8,2,2,255,predict_closed21_3,5,,[],24674.576580615914,0,0.0,False,0,577,434.7276877333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",1,30.0,4,,,68,1.0,22,9,12,2,21,15,ordinary,21,full_coverage_and_all_discovered_cleared,233,6520.915316,40.0,constant,0.04300541599513963
7,0,True,0,7,3,4,0,uniform__iid__68,uniform__iid,12,0,,16,15,290,bounded_transverse_width,,locked,43,0.043412999999999924,,15,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,1,0,0,,2,2,272,locked_full_closed21_3,,,[],22262.061899867902,0,0.0,False,0,,409.427492,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,19,5,5,1,22,15,ordinary,21,full_coverage_and_all_discovered_cleared,251,6141.41238,40.0,constant,0.04343233397230506
7,0,True,0,7,3,4,0,uniform__iid__68,uniform__iid,12,39,39,16,15,251,bounded_transverse_width,,locked,43,0.04494799999999999,4,15,cached_distance_prefix_sum,0,0,,39,0,35,True,0,0,39,1,0,0,8,2,2,233,count_locked_closed21_3,5,5,[],22262.061899867902,0,0.0,False,0,514,394.227492,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,30.0,4,0,0,68,1.0,19,5,5,1,22,15,ordinary,21,full_coverage_and_all_discovered_cleared,218,5913.41238,40.0,constant,0.044990875001531094
4,0,True,0,4,5,5,0,uniform__iid__68,uniform__iid,10,,,15,15,304,bounded_transverse_width,,,,0.04032999999999998,,15,,0,0,,,,,,0,0,,1,40,0,,2,2,287,width_grid21_7,,,[],24415.4526956634,0,0.0,False,0,,443.73936913333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,,22,9,12,1,19,15,ordinary,21,full_coverage_and_all_discovered_cleared,263,6656.090537,40.0,constant,0.040339792030863464
4,0,True,0,4,5,5,0,uniform__iid__68,uniform__iid,10,34,,15,15,270,bounded_transverse_width,,base,0,0.03968800000000017,,15,,0,0,,,,,False,0,0,34,1,40,0,,2,2,253,range_grid21_7,,,[],24415.4526956634,0,0.0,False,0,,430.13936913333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,22,9,12,1,19,15,ordinary,21,full_coverage_and_all_discovered_cleared,229,6452.090537,40.0,constant,0.039705124974716455
4,0,True,0,4,5,5,0,uniform__iid__68,uniform__iid,10,34,35,15,15,269,bounded_transverse_width,,base,0,0.04136899999999999,2,15,,0,0,,35,0,33,False,0,0,35,1,40,0,8,2,2,252,predict_grid21_7,5,,[],24415.4526956634,0,0.0,False,0,577,429.8727024666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",1,30.0,4,,,68,1.0,22,9,12,1,19,15,ordinary,21,full_coverage_and_all_discovered_cleared,230,6448.090537,40.0,constant,0.041423499991651624
6,0,True,0,6,4,4,0,uniform__iid__68,uniform__iid,11,0,,15,15,288,bounded_transverse_width,,locked,42,0.04274099999999992,,15,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,1,0,0,,2,2,271,locked_full_grid21_7,,,[],22156.418131605955,0,0.0,False,0,,407.4189084,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,19,5,5,1,21,15,ordinary,21,full_coverage_and_all_discovered_cleared,250,6111.283626,40.0,constant,0.04275129199959338
6,0,True,0,6,4,4,0,uniform__iid__68,uniform__iid,11,39,39,15,15,249,bounded_transverse_width,,locked,42,0.044651999999999914,4,15,cached_distance_prefix_sum,0,0,,39,0,35,True,0,0,39,1,0,0,8,2,2,232,count_locked_grid21_7,5,5,[],22156.418131605955,0,0.0,False,0,514,392.21890840000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,30.0,4,0,0,68,1.0,19,5,5,1,21,15,ordinary,21,full_coverage_and_all_discovered_cleared,217,5883.283626,40.0,constant,0.04467137501342222
11,1,True,0,11,3,4,0,uniform__iid__68,uniform__iid,12,,,16,15,326,bounded_transverse_width,,,,0.04589199999999982,,15,,0,0,,,,,,0,0,,3,46,0,,3,3,308,width_grid21_29,,,[],23512.755759424366,0,0.0,False,0,,440.5700766666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,,25,13,6,3,25,15,ordinary,21,full_coverage_and_all_discovered_cleared,288,6608.55115,40.0,constant,0.04592033399967477
11,1,True,0,11,3,4,0,uniform__iid__68,uniform__iid,12,36,,16,15,290,bounded_transverse_width,,base,0,0.04512999999999989,,15,,0,0,,,,,False,0,0,36,3,46,0,,3,3,272,range_grid21_29,,,[],23512.755759424366,0,0.0,False,0,,426.2367433333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,25,13,6,3,25,15,ordinary,21,full_coverage_and_all_discovered_cleared,253,6393.55115,40.0,constant,0.04517179197864607
11,1,True,0,11,3,4,0,uniform__iid__68,uniform__iid,12,36,37,16,15,289,bounded_transverse_width,,base,0,0.04834700000000014,1,15,,0,0,,37,0,36,False,0,0,37,3,46,0,8,3,3,271,predict_grid21_29,5,,[],23512.755759424366,0,0.0,False,0,869,425.83674333333335,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",1,30.0,4,,,68,1.0,25,13,6,3,25,15,ordinary,21,full_coverage_and_all_discovered_cleared,252,6387.55115,40.0,constant,0.04835024999920279
8,0,True,0,8,2,3,0,uniform__iid__68,uniform__iid,13,0,,16,15,299,bounded_transverse_width,,locked,44,0.04508000000000001,,15,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,3,0,0,,3,3,281,locked_full_grid21_29,,,[],21723.868796007155,0,0.0,False,0,,405.98491740000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,30.0,4,,,68,1.0,29,6,0,3,23,15,ordinary,21,full_coverage_and_all_discovered_cleared,262,6089.773761,40.0,constant,0.045114000036846846
8,0,True,0,8,2,3,0,uniform__iid__68,uniform__iid,13,37,40,16,15,259,bounded_transverse_width,,locked,44,0.046949999999999825,6,15,cached_distance_prefix_sum,0,0,,40,0,34,True,0,0,40,3,0,0,8,3,3,241,count_locked_grid21_29,5,5,[],21723.868796007155,0,0.0,False,0,543,390.3849174,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,30.0,4,0,0,68,1.0,29,6,0,3,23,15,ordinary,21,full_coverage_and_all_discovered_cleared,228,5855.773761,40.0,constant,0.04702091700164601
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,,,15,15,266,bounded_transverse_width,,,,0.04995200000000022,,15,,0,0,,,,,,0,0,,2,46,0,,2,2,249,width_convex22,,,[],21823.84216933692,0,0.0,False,0,,394.1845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,30.0,4,,,69,,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,228,5912.768431,40.0,constant,0.04996383300749585
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,,15,15,237,bounded_transverse_width,,base,0,0.049361999999999906,,15,,0,0,,,,,False,0,0,29,2,46,0,,2,2,220,range_convex22,,,[],21823.84216933692,0,0.0,False,0,,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,30.0,4,,,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.049420833005569875
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,30,15,15,236,bounded_transverse_width,,base,0,0.051816000000000084,0,15,,0,0,,30,0,30,False,0,0,30,2,46,0,8,2,2,219,predict_convex22,5,,[],21823.84216933692,0,0.0,False,0,409,382.1845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",1,30.0,4,,,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,198,5732.768431,40.0,constant,0.05188091698801145
5,1,True,0,5,5,5,0,uniform__iid__69,uniform__iid,10,0,,15,15,270,bounded_transverse_width,,locked,41,0.044459999999999944,,15,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,1,0,0,,2,2,253,locked_full_convex22,,,[],22359.20184193586,0,0.0,False,0,,402.6560242,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,30.0,4,,,69,1.0,27,0,3,1,19,15,ordinary,22,full_coverage_and_all_discovered_cleared,228,6039.840363,40.0,constant,0.044475166010670364
5,1,True,0,5,5,5,0,uniform__iid__69,uniform__iid,10,33,33,15,15,237,bounded_transverse_width,,locked,41,0.04581500000000016,0,15,cached_distance_prefix_sum,0,0,,33,0,33,True,0,0,33,1,0,0,8,2,2,220,count_locked_convex22,5,5,[],22359.20184193586,0,0.0,False,0,335,389.4560242,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,30.0,4,0,0,69,1.0,27,0,3,1,19,15,ordinary,22,full_coverage_and_all_discovered_cleared,195,5841.840363,40.0,constant,0.04582762497011572
6,1,True,0,6,4,4,0,uniform__iid__69,uniform__iid,11,,,15,15,257,bounded_transverse_width,,,,0.042492000000000196,,15,,0,0,,,,,,0,0,,2,41,0,,2,1,240,width_closed21_3,,,[],22444.045515129383,0,0.0,False,0,,398.8539404,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,30.0,4,,,69,,21,5,3,2,20,15,ordinary,21,full_coverage_and_all_discovered_cleared,219,5982.809106,40.0,constant,0.04254525003489107
6,1,True,0,6,4,4,0,uniform__iid__69,uniform__iid,11,27,,15,15,230,bounded_transverse_width,,base,0,0.04228500000000013,,15,,0,0,,,,,False,0,0,27,2,41,0,,2,1,213,range_closed21_3,,,[],22444.045515129383,0,0.0,False,0,,388.0539404,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,30.0,4,,,69,1.0,21,5,3,2,20,15,ordinary,21,full_coverage_and_all_discovered_cleared,192,5820.809106,40.0,constant,0.042318583000451326
6,1,True,0,6,4,4,0,uniform__iid__69,uniform__iid,11,27,30,15,15,227,bounded_transverse_width,,base,0,0.043651000000000106,0,15,,0,0,,30,0,30,False,0,0,30,2,41,0,8,2,1,210,predict_closed21_3,5,,[],22444.045515129383,0,0.0,False,0,252,386.8539404,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,30.0,4,,,69,1.0,21,5,3,2,20,15,ordinary,21,full_coverage_and_all_discovered_cleared,189,5802.809106,40.0,constant,0.043680540984496474
